"","Term","Overlap","P.value","Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"104","negative regulation of cold-induced thermogenesis (GO:0120163)","2/47",0.0231205576171507,0.171699443715261,9.00453514739229,33.920382104137,"ARRDC3;ALDH1A1"
"105","positive regulation of neuron death (GO:1901216)","2/47",0.0231205576171507,0.171699443715261,9.00453514739229,33.920382104137,"FOS;CLU"
"106","regulation of anatomical structure morphogenesis (GO:0022603)","3/123",0.0238342004694833,0.171699443715261,5.0979381443299,19.0491276504594,"EPHA4;CLDN4;KRT1"
"107","cellular response to alcohol (GO:0097306)","2/48",0.0240483300532172,0.171699443715261,8.80834072759539,32.8347611919466,"AKR1C3;AKR1C2"
"108","cognition (GO:0050890)","2/48",0.0240483300532172,0.171699443715261,8.80834072759539,32.8347611919466,"HLA-DRA;TMPRSS11E"
"109","ADP transport (GO:0015866)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"SLC25A5"
"110","receptor-mediated virion attachment to host cell (GO:0046813)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"CD81"
"111","negative regulation of metallopeptidase activity (GO:1905049)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"TIMP3"
"112","regulation of chloride transport (GO:2001225)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"GABRE"
"113","regulation of mitophagy (GO:1901524)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"SLC25A5"
"114","peptidyl-cysteine S-nitrosylation (GO:0018119)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"S100A8"
"115","endodermal cell fate specification (GO:0001714)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"SOX2"
"116","positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"CD81"
"117","positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"HLA-DRA"
"118","fatty acid omega-oxidation (GO:0010430)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"ADH7"
"119","fructose catabolic process (GO:0006001)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"ALDH1A1"
"120","fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"ALDH1A1"
"121","gamma-aminobutyric acid metabolic process (GO:0009448)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"ALDH1A1"
"122","positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"HSPB1"
"123","response to prostaglandin (GO:0034694)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"AKR1C3"
"124","positive regulation of metallopeptidase activity (GO:1905050)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"CLDN4"
"125","intracellular sequestering of iron ion (GO:0006880)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"FTL"
"126","L-methionine salvage from methylthioadenosine (GO:0019509)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"ADI1"
"127","positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"HSPA1A"
"128","positive regulation of protein catabolic process in the vacuole (GO:1904352)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"CD81"
"129","proline transmembrane transport (GO:0035524)","1/5",0.0247535287182936,0.171699443715261,50.2424242424242,185.836036973753,"SLC7A8"
"130","regulation of complement activation (GO:0030449)","2/50",0.0259489619459531,0.171699443715261,8.44047619047619,30.8214426622313,"CD81;CLU"
"131","cholesterol transport (GO:0030301)","2/51",0.0269214810715392,0.171699443715261,8.26780508121616,29.8867161104048,"CD36;CLU"
"132","cellular response to metal ion (GO:0071248)","3/131",0.0280307213331603,0.171699443715261,4.77738402061856,17.0765402810598,"JUN;AKR1C3;FOS"
"133","negative regulation of anion transport (GO:1903792)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"GABRE"
"134","aromatic amino acid transport (GO:0015801)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"SLC7A8"
"135","negative regulation of erythrocyte differentiation (GO:0045647)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"MAFB"
"136","regulation of digestive system process (GO:0044058)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"SGK1"
"137","regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"MMP12"
"138","cellular response to bacterial lipopeptide (GO:0071221)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CD36"
"139","negative regulation of serine-type peptidase activity (GO:1902572)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"SPINK5"
"140","negative regulation of vitamin metabolic process (GO:0046137)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"AKR1C3"
"141","cholesterol import (GO:0070508)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CD36"
"142","peptide antigen assembly with MHC protein complex (GO:0002501)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"HLA-DRA"
"143","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"HSPA1A"
"144","regulation of protein lipidation (GO:1903059)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"DBI"
"145","regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CD81"
"146","regulation of T-helper cell differentiation (GO:0045622)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"HLA-DRA"
"147","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"TIMP3"
"148","leucine transport (GO:0015820)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"SLC7A8"
"149","sterol import (GO:0035376)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CD36"
"150","positive regulation of tau-protein kinase activity (GO:1902949)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CLU"
"151","positive regulation of tooth mineralization (GO:0070172)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"AMTN"
"152","positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"RSPO3"
"153","morphogenesis of an endothelium (GO:0003159)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"RHOB"
"154","multinuclear osteoclast differentiation (GO:0072674)","1/6",0.0296309633944118,0.171699443715261,40.1919191919192,141.432767389918,"CD81"
"155","regulation of humoral immune response (GO:0002920)","2/54",0.029925836282038,0.171699443715261,7.78963893249608,27.3341007109313,"CD81;CLU"
"156","regulation of proteolysis (GO:0030162)","2/54",0.029925836282038,0.171699443715261,7.78963893249608,27.3341007109313,"CSTA;PLAT"
"157","triglyceride metabolic process (GO:0006641)","2/55",0.030955668405524,0.171699443715261,7.64227955333077,26.5584434034501,"FABP4;FABP5"
"158","negative regulation of metabolic process (GO:0009892)","2/56",0.0319994177727202,0.171699443715261,7.50037792894936,25.8165826277711,"ARRDC3;ALDH1A1"
"159","positive regulation of interleukin-1 beta production (GO:0032731)","2/56",0.0319994177727202,0.171699443715261,7.50037792894936,25.8165826277711,"HSPB1;CD36"
"160","sensory organ development (GO:0007423)","2/56",0.0319994177727202,0.171699443715261,7.50037792894936,25.8165826277711,"SOX2;MAFB"
"161","cellular response to peptide (GO:1901653)","2/57",0.0330569224942901,0.171699443715261,7.36363636363636,25.1064969666325,"EPHA4;CD36"
"162","regulation of reactive oxygen species metabolic process (GO:2000377)","2/57",0.0330569224942901,0.171699443715261,7.36363636363636,25.1064969666325,"CBR1;AKR1C3"
"163","negative regulation of axon regeneration (GO:0048681)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"EPHA4"
"164","amino sugar catabolic process (GO:0046348)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"ALDH1A1"
"165","negative regulation of membrane protein ectodomain proteolysis (GO:0051045)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"TIMP3"
"166","cation homeostasis (GO:0055080)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"SLC7A8"
"167","cellular amino acid biosynthetic process (GO:0008652)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"ALDH1A1"
"168","regulation of glial cell differentiation (GO:0045685)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"EPHA4"
"169","negative regulation of T cell apoptotic process (GO:0070233)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"PIP"
"170","regulation of ketone biosynthetic process (GO:0010566)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"AKR1C3"
"171","regulation of metallopeptidase activity (GO:1905048)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"CLDN4"
"172","regulation of phospholipid transport (GO:2001138)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"DBI"
"173","pituitary gland development (GO:0021983)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"SOX2"
"174","positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"EPHA4"
"175","positive regulation of B cell receptor signaling pathway (GO:0050861)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"CD81"
"176","glyceraldehyde-3-phosphate metabolic process (GO:0019682)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"ALDH1A1"
"177","glycerol transport (GO:0015793)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"AQP3"
"178","positive regulation of microtubule nucleation (GO:0090063)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"HSPA1A"
"179","intermembrane lipid transfer (GO:0120009)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"GLTP"
"180","smooth muscle cell migration (GO:0014909)","1/7",0.0344842492004147,0.171699443715261,33.4915824915825,112.774618360503,"PLAT"
