species,COAD,LUAD,LUSC,OtherCR,OtherLung,OtherPancreatic,PAAD,READ,SARC,SCLC,SKCM,THCA
34,Frigoribacterium sp. NBH87,0.004,0.00383141762452107,0,0,0,0,0.0192307692307692,0.0105263157894737,0.00723589001447178,0,0.0217391304347826,0.00557620817843866
35,Elephant endotheliotropic herpesvirus 4,0.006,0.00383141762452107,0.0078740157480315,0,0,0,0,0,0.00289435600578871,0,0,0.00743494423791822
36,Hymenobacter sp. NBH84,0.008,0.0114942528735632,0.0078740157480315,0.0256410256410256,0.0192307692307692,0.0138888888888889,0.0256410256410256,0.0526315789473684,0.0159189580318379,0,0.0072463768115942,0.00743494423791822
37,Candidatus Nitrosocosmicus hydrocola,0.004,0.0114942528735632,0.0078740157480315,0,0,0,0,0,0.00289435600578871,0,0.0072463768115942,0.00371747211895911
38,Delftia tsuruhatensis,0.012,0,0,0,0,0,0,0.0210526315789474,0.00144717800289436,0,0.0072463768115942,0
39,Vitreoscilla filiformis,0.008,0.00383141762452107,0.015748031496063,0,0,0.00462962962962963,0.0128205128205128,0.0105263157894737,0.00868306801736614,0,0.0144927536231884,0.00743494423791822
40,Corynebacterium ureicelerivorans,0.012,0.0191570881226054,0.0078740157480315,0,0.00961538461538462,0.00925925925925926,0.0192307692307692,0.0105263157894737,0.0115774240231548,0,0.0289855072463768,0.00371747211895911
41,Indioceanicola profundi,0.004,0.00383141762452107,0,0,0,0,0,0,0.00144717800289436,0,0,0
42,Escherichia albertii,0.008,0,0,0,0,0,0,0,0,0,0,0
43,Streptomyces liliifuscus,0.02,0.0613026819923372,0.062992125984252,0.0256410256410256,0.0384615384615385,0.00462962962962963,0.0192307692307692,0.0105263157894737,0.0115774240231548,0.0384615384615385,0.0144927536231884,0.0185873605947955
44,Lysobacter enzymogenes,0.014,0.00766283524904215,0.0078740157480315,0,0.0288461538461538,0.00925925925925926,0.00641025641025641,0,0.00289435600578871,0,0.0144927536231884,0.00185873605947955
45,Clostridium carboxidivorans,0.002,0,0.0078740157480315,0,0,0.00462962962962963,0,0.0105263157894737,0.00144717800289436,0,0.0072463768115942,0.00185873605947955
46,Treponema vincentii,0.02,0,0,0,0,0,0,0.0210526315789474,0.00723589001447178,0,0,0.00185873605947955
47,Jiangella sp. DSM 45060,0.002,0,0,0,0,0.00462962962962963,0,0,0,0,0,0.00371747211895911
48,Akkermansia glycaniphila,0.01,0.0153256704980843,0,0,0,0.00462962962962963,0.0192307692307692,0.0105263157894737,0.0130246020260492,0,0,0.00185873605947955
49,Candidatus Chazhemtobacterium aquaticus,0.004,0.0114942528735632,0,0,0,0.00925925925925926,0,0.0105263157894737,0.0101302460202605,0,0.0072463768115942,0.00557620817843866
50,Spirosoma sp. CJU-R4,0.002,0,0,0.0512820512820513,0,0,0.00641025641025641,0,0.00434153400868307,0,0,0.00557620817843866
51,Pandoravirus inopinatum,0.01,0.00766283524904215,0.0078740157480315,0,0.00961538461538462,0.00925925925925926,0,0.0105263157894737,0.00578871201157742,0,0.0072463768115942,0.00557620817843866
52,Stella humosa,0.016,0.0191570881226054,0.0078740157480315,0,0,0.0324074074074074,0.0192307692307692,0.0105263157894737,0.0159189580318379,0,0.0434782608695652,0.00743494423791822
53,Cupriavidus necator,0.012,0,0,0.0256410256410256,0,0,0.00641025641025641,0,0.00578871201157742,0,0.0072463768115942,0
54,Staphylococcus delphini,0.004,0,0,0,0,0,0,0,0.00144717800289436,0,0,0
55,Dermabacter jinjuensis,0.008,0.00383141762452107,0,0,0.00961538461538462,0,0.00641025641025641,0,0.00578871201157742,0,0.0144927536231884,0.00185873605947955
56,Streptomyces sp. HM190,0.004,0.00766283524904215,0,0,0,0,0.00641025641025641,0,0.00144717800289436,0,0,0.00743494423791822
57,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.01,0.00383141762452107,0.0236220472440945,0,0,0,0.0192307692307692,0.0105263157894737,0.00144717800289436,0.0384615384615385,0.0072463768115942,0.00557620817843866
58,Selenomonas sp. oral taxon 920,0.006,0.00383141762452107,0,0,0,0.00462962962962963,0.0128205128205128,0.0105263157894737,0.00144717800289436,0,0,0.00185873605947955
59,Cyclobacterium marinum,0.004,0,0,0,0,0.00462962962962963,0.00641025641025641,0,0,0,0,0.00929368029739777
60,Chlorobaculum parvum,0.022,0.0114942528735632,0.0236220472440945,0,0.0192307692307692,0.037037037037037,0.0128205128205128,0.0315789473684211,0.0144717800289436,0.0769230769230769,0.0217391304347826,0.0278810408921933
61,Cyanobium sp. NIES-981,0.054,0.111111111111111,0.078740157480315,0.0256410256410256,0.0384615384615385,0.00925925925925926,0.0576923076923077,0.105263157894737,0.040520984081042,0.0384615384615385,0.0507246376811594,0.0483271375464684
62,Achromobacter spanius,0.012,0.00766283524904215,0.0078740157480315,0,0.00961538461538462,0,0.0128205128205128,0.0105263157894737,0.00144717800289436,0,0,0.00929368029739777
63,Achromobacter insolitus,0.008,0.00766283524904215,0.015748031496063,0,0,0.0138888888888889,0.00641025641025641,0,0.00434153400868307,0.0384615384615385,0.0217391304347826,0.00929368029739777
64,Halobacteriovorax sp. BALOs_7,0.076,0.0344827586206897,0.031496062992126,0.0512820512820513,0.0384615384615385,0.0555555555555556,0.0448717948717949,0.0315789473684211,0.044862518089725,0.0384615384615385,0.0652173913043478,0.0631970260223048
65,Qipengyuania sediminis,0.002,0.00766283524904215,0,0,0,0.00462962962962963,0.0128205128205128,0,0.00434153400868307,0,0.0144927536231884,0
66,Pseudocnuella soli,0.008,0.00383141762452107,0,0,0.00961538461538462,0,0.0128205128205128,0.0210526315789474,0.00289435600578871,0,0,0.00371747211895911
67,Pirellula staleyi,0.002,0,0.0078740157480315,0,0,0.00462962962962963,0,0.0105263157894737,0.00289435600578871,0.0384615384615385,0,0
68,Corynebacterium coyleae,0.018,0.0383141762452107,0.0078740157480315,0,0.0288461538461538,0.00462962962962963,0.0192307692307692,0.0315789473684211,0.0289435600578871,0.0384615384615385,0.0434782608695652,0.0223048327137546
69,Isosphaera pallida,0.014,0.0153256704980843,0.0078740157480315,0,0,0.00462962962962963,0.0192307692307692,0.0105263157894737,0.0173661360347323,0,0.0217391304347826,0.00929368029739777
70,Methylobacterium sp. 4-46,0.012,0.0114942528735632,0.0078740157480315,0,0.0288461538461538,0.00925925925925926,0,0.0105263157894737,0.0144717800289436,0,0.036231884057971,0.00743494423791822
71,Microvirgula aerodenitrificans,0.002,0.00383141762452107,0,0.0256410256410256,0,0,0.0128205128205128,0.0105263157894737,0.00289435600578871,0,0,0.00557620817843866
72,Borreliella burgdorferi,0.084,0.103448275862069,0.125984251968504,0.0512820512820513,0.144230769230769,0.0972222222222222,0.0897435897435897,0.0736842105263158,0.0361794500723589,0.230769230769231,0.072463768115942,0.0687732342007435
73,Leptotrichia sp. oral taxon 847,0.002,0,0,0,0,0,0,0,0,0,0,0.00185873605947955
74,Candidatus Sodalis pierantonius,0.002,0,0,0,0,0,0,0,0.00289435600578871,0,0,0
75,Micromonospora siamensis,0.022,0.0268199233716475,0.0236220472440945,0,0.00961538461538462,0.0185185185185185,0.0256410256410256,0.0315789473684211,0.0173661360347323,0,0.0217391304347826,0.0204460966542751
76,Borrelia coriaceae,0.002,0,0,0,0,0,0,0,0,0,0.0072463768115942,0.00185873605947955
77,Tsuneonella dongtanensis,0.006,0.00383141762452107,0,0,0,0,0.00641025641025641,0.0105263157894737,0.00578871201157742,0,0,0.00371747211895911
78,Gordonibacter pamelaeae,0.008,0,0,0,0,0,0,0.0105263157894737,0.00434153400868307,0,0,0
79,Hyphomicrobium denitrificans,0.026,0.0613026819923372,0.0866141732283465,0.0512820512820513,0.0769230769230769,0.0231481481481481,0.0256410256410256,0.0526315789473684,0.0246020260492041,0.0384615384615385,0.036231884057971,0.016728624535316
80,Acinetobacter guillouiae,0.004,0,0.0078740157480315,0,0.00961538461538462,0.00925925925925926,0.0128205128205128,0.0210526315789474,0.0101302460202605,0,0.0072463768115942,0.00557620817843866
81,Synechococcus sp. Minos11,0.002,0.00383141762452107,0,0,0,0,0,0,0.00723589001447178,0,0,0
82,Acinetobacter nosocomialis,0.17,0.130268199233716,0.181102362204724,0.102564102564103,0.134615384615385,0.0694444444444444,0.0705128205128205,0.136842105263158,0.060781476121563,0.115384615384615,0.144927536231884,0.118959107806691
83,Treponema denticola,0.024,0.00383141762452107,0.015748031496063,0,0.0288461538461538,0.0138888888888889,0.0192307692307692,0.0105263157894737,0.0173661360347323,0.0384615384615385,0.0217391304347826,0.0130111524163569
84,Flocculibacter collagenilyticus,0.002,0,0,0,0.00961538461538462,0,0,0,0.00144717800289436,0,0,0
85,Pseudomonas citronellolis,0.002,0,0.0078740157480315,0,0,0,0,0,0.00289435600578871,0,0,0.00185873605947955
86,Faecalibacillus intestinalis,0.002,0,0,0,0,0,0,0,0,0,0,0
87,Treponema phagedenis,0.004,0,0,0,0.00961538461538462,0,0,0.0210526315789474,0.00144717800289436,0,0,0.00185873605947955
88,Mycobacterium koreense,0.006,0.0114942528735632,0.0236220472440945,0,0,0.00925925925925926,0.0128205128205128,0,0.00578871201157742,0,0.0072463768115942,0.00371747211895911
89,Pseudomonas resinovorans,0.012,0.0114942528735632,0.0078740157480315,0,0.00961538461538462,0.00462962962962963,0.00641025641025641,0.0105263157894737,0.00434153400868307,0,0.0072463768115942,0.00371747211895911
90,Rubrobacter xylanophilus,0.006,0.00383141762452107,0,0,0,0,0,0.0105263157894737,0.00434153400868307,0,0.0072463768115942,0.00185873605947955
91,Pseudomonas lundensis,0.03,0.00766283524904215,0.0078740157480315,0,0.00961538461538462,0.00462962962962963,0.0192307692307692,0.0421052631578947,0.00723589001447178,0,0.0217391304347826,0.0111524163568773
92,Mycolicibacter minnesotensis,0.018,0.0229885057471264,0.0078740157480315,0,0.0192307692307692,0.00925925925925926,0.0192307692307692,0.0210526315789474,0.0101302460202605,0,0.0072463768115942,0.0130111524163569
93,Candidatus Promineofilum breve,0.298,0.337164750957854,0.228346456692913,0.307692307692308,0.25,0.162037037037037,0.256410256410256,0.315789473684211,0.195369030390738,0.230769230769231,0.304347826086957,0.197026022304833
94,Leptospira biflexa,0.01,0.0114942528735632,0.015748031496063,0.0256410256410256,0,0,0.0128205128205128,0,0.00578871201157742,0,0,0.016728624535316
95,Clostridium fermenticellae,0.002,0,0,0,0,0.00462962962962963,0,0.0105263157894737,0.00144717800289436,0,0,0
96,Treponema socranskii,0.024,0,0,0.0512820512820513,0.00961538461538462,0,0.0128205128205128,0.0105263157894737,0.00289435600578871,0,0.0217391304347826,0.00185873605947955
97,Corynebacterium resistens,0.004,0.00383141762452107,0,0,0,0,0,0,0.00434153400868307,0,0.0072463768115942,0.00185873605947955
98,Bordetella genomosp. 6,0.004,0.00383141762452107,0,0,0,0,0,0,0,0,0,0.00185873605947955
99,Bordetella bronchialis,0.008,0,0,0,0.0192307692307692,0,0,0,0,0,0,0.00371747211895911
100,Sphingobacterium sp. G1-14,0.002,0.00383141762452107,0,0,0,0.00462962962962963,0,0,0.00289435600578871,0,0,0
101,Nocardioides dokdonensis,0.01,0.00383141762452107,0,0,0,0,0,0.0105263157894737,0.00434153400868307,0,0.0072463768115942,0
102,Leptospirillum ferrooxidans,0.002,0,0,0,0,0.00462962962962963,0,0,0.00144717800289436,0,0,0.00185873605947955
103,Romboutsia hominis,0.022,0,0.0078740157480315,0.0512820512820513,0,0.00462962962962963,0.00641025641025641,0.0315789473684211,0.0115774240231548,0,0.0144927536231884,0
104,Capnocytophaga haemolytica,0.022,0.0229885057471264,0.0236220472440945,0,0.0192307692307692,0.00462962962962963,0.0192307692307692,0.0105263157894737,0.00578871201157742,0,0.0217391304347826,0.00929368029739777
105,Lactobacillus terrae,0.002,0.00383141762452107,0,0,0.00961538461538462,0,0,0.0210526315789474,0,0,0,0
106,Selenomonas sputigena,0.15,0.0383141762452107,0.0236220472440945,0.153846153846154,0.00961538461538462,0.0138888888888889,0.0705128205128205,0.126315789473684,0.0347322720694645,0.0384615384615385,0.0579710144927536,0.0148698884758364
107,Campylobacter coli,0.006,0.00383141762452107,0.015748031496063,0,0.00961538461538462,0.0138888888888889,0.00641025641025641,0.0315789473684211,0.00578871201157742,0,0.0072463768115942,0.00929368029739777
108,Campylobacter jejuni,0.032,0.00383141762452107,0,0.0256410256410256,0,0,0.0128205128205128,0.0631578947368421,0.00289435600578871,0,0.0144927536231884,0
109,Mycoplasmopsis maculosa,0.004,0,0.0078740157480315,0,0,0,0,0,0,0,0,0
110,Campylobacter showae,0.032,0.00766283524904215,0.0078740157480315,0,0,0,0,0.0526315789473684,0.00289435600578871,0,0,0
111,Enterobacter asburiae,0.006,0,0,0,0,0,0,0,0,0,0,0
112,Pluralibacter gergoviae,0.002,0.00383141762452107,0.0078740157480315,0,0.00961538461538462,0,0.00641025641025641,0.0210526315789474,0,0.0384615384615385,0,0.00185873605947955
113,Kluyvera intermedia,0.01,0.00766283524904215,0.0078740157480315,0,0.00961538461538462,0.00925925925925926,0.00641025641025641,0.0105263157894737,0.00434153400868307,0.0384615384615385,0.0217391304347826,0.00557620817843866
114,Helicobacter pylori,0.034,0.0421455938697318,0.062992125984252,0,0.0288461538461538,0.0231481481481481,0.0384615384615385,0.0842105263157895,0.0159189580318379,0.115384615384615,0.036231884057971,0.0297397769516729
115,Helicobacter acinonychis,0.01,0.00383141762452107,0,0,0,0,0,0,0.00578871201157742,0,0.0144927536231884,0.00185873605947955
116,Nakamurella multipartita,0.006,0.0114942528735632,0.0078740157480315,0,0.00961538461538462,0.00925925925925926,0.0192307692307692,0.0210526315789474,0.00723589001447178,0,0.0217391304347826,0.00929368029739777
117,Mycolicibacterium mageritense,0.056,0.0574712643678161,0.0866141732283465,0,0.0288461538461538,0.0416666666666667,0.0448717948717949,0.0526315789473684,0.0376266280752533,0.192307692307692,0.0652173913043478,0.0315985130111524
118,Fannyhessea vaginae,0.004,0.0153256704980843,0.0078740157480315,0,0,0,0.00641025641025641,0,0.00289435600578871,0,0,0.00185873605947955
119,Serratia rubidaea,0.006,0.0114942528735632,0.0078740157480315,0,0.0192307692307692,0,0,0,0.00289435600578871,0,0.0072463768115942,0.00185873605947955
120,Gemmatimonas groenlandica,0.004,0.0153256704980843,0,0,0,0.00925925925925926,0.00641025641025641,0,0.0274963820549928,0,0.0289855072463768,0.00371747211895911
121,Candidatus Hodgkinia cicadicola,0.008,0.00383141762452107,0,0,0,0,0,0,0.00144717800289436,0,0,0.00185873605947955
122,Niabella soli,0.004,0.00766283524904215,0,0,0.00961538461538462,0.00925925925925926,0,0,0.0101302460202605,0,0.0072463768115942,0.00557620817843866
123,Mycolicibacterium aubagnense,0.028,0.0153256704980843,0,0.0256410256410256,0.0288461538461538,0.0138888888888889,0.00641025641025641,0.0210526315789474,0.00578871201157742,0,0.0144927536231884,0.00743494423791822
124,Synechococcus sp. RSCCF101,0.002,0,0.0078740157480315,0,0.00961538461538462,0.00462962962962963,0.00641025641025641,0.0105263157894737,0.00868306801736614,0,0,0.00557620817843866
125,Mycolicibacterium phocaicum,0.004,0.0114942528735632,0,0,0,0,0,0.0210526315789474,0.00434153400868307,0,0,0.00743494423791822
126,Cupriavidus campinensis,0.002,0.00383141762452107,0,0,0,0.00462962962962963,0,0,0,0,0,0.00557620817843866
127,Pseudomonas oryzae,0.024,0.00766283524904215,0.015748031496063,0,0,0.00462962962962963,0.0128205128205128,0.0210526315789474,0.0159189580318379,0,0.0072463768115942,0.00557620817843866
128,Streptomyces dangxiongensis,0.014,0.0268199233716475,0.0236220472440945,0,0.0288461538461538,0.00925925925925926,0.00641025641025641,0.0210526315789474,0.0101302460202605,0,0.0217391304347826,0.00743494423791822
129,Cutibacterium avidum,0.044,0.0459770114942529,0.031496062992126,0,0.0384615384615385,0.0185185185185185,0.0576923076923077,0.0421052631578947,0.020260492040521,0.0384615384615385,0.036231884057971,0.016728624535316
130,Olsenella sp. GAM18,0.004,0,0,0.0256410256410256,0,0,0,0.0105263157894737,0.0144717800289436,0,0,0.00371747211895911
131,Empedobacter brevis,0.008,0.00383141762452107,0.015748031496063,0,0.00961538461538462,0,0.0128205128205128,0,0.00289435600578871,0,0.0072463768115942,0
132,Oscillibacter sp. PEA192,0.002,0,0,0,0,0,0,0,0,0,0,0
133,Sphingomonas hengshuiensis,0.294,0.111111111111111,0.102362204724409,0.205128205128205,0.144230769230769,0.0972222222222222,0.134615384615385,0.242105263157895,0.0897250361794501,0.0384615384615385,0.210144927536232,0.131970260223048
134,Serpentinimonas raichei,0.02,0.0306513409961686,0.0236220472440945,0,0.00961538461538462,0.00925925925925926,0,0.0105263157894737,0.020260492040521,0.0384615384615385,0.0289855072463768,0.0148698884758364
135,Christensenella minuta,0.006,0.00766283524904215,0,0,0,0,0,0,0.00434153400868307,0,0,0.00185873605947955
136,Myroides odoratus,0.008,0,0,0,0,0,0,0.0105263157894737,0.00434153400868307,0,0.0072463768115942,0
137,Autographa californica multiple nucleopolyhedrovirus,0.006,0,0.0078740157480315,0,0,0.00462962962962963,0,0.0210526315789474,0,0,0,0.00185873605947955
138,Sphingobacterium spiritivorum,0.004,0,0,0,0,0,0,0,0.00144717800289436,0.0769230769230769,0,0.00185873605947955
139,Jeotgalicoccus sp. ATCC 8456,0.01,0.00383141762452107,0,0,0.0192307692307692,0,0.00641025641025641,0,0,0.0384615384615385,0,0.00371747211895911
140,Oxynema aestuarii AP17,0.01,0.00383141762452107,0.0078740157480315,0,0,0.00925925925925926,0,0.0105263157894737,0.00868306801736614,0.0384615384615385,0.0144927536231884,0
141,Streptococcus periodonticum,0.006,0,0,0,0,0,0,0,0,0,0,0
142,Blautia producta,0.004,0,0,0.0256410256410256,0,0,0.00641025641025641,0.0315789473684211,0.00289435600578871,0,0,0.00371747211895911
143,[Ruminococcus] gnavus,0.284,0.0229885057471264,0.015748031496063,0.358974358974359,0.00961538461538462,0.0185185185185185,0.0384615384615385,0.315789473684211,0.0274963820549928,0.0384615384615385,0.0289855072463768,0.0185873605947955
144,Thermus aquaticus,0.064,0.0229885057471264,0.031496062992126,0.0256410256410256,0.00961538461538462,0.0416666666666667,0.102564102564103,0.0105263157894737,0.0332850940665702,0,0.0507246376811594,0.00371747211895911
145,Streptococcus milleri,0.004,0,0,0,0,0,0,0,0.00144717800289436,0,0,0
146,Thermus thermophilus,0.018,0.00766283524904215,0.0078740157480315,0.0256410256410256,0.00961538461538462,0.0138888888888889,0.00641025641025641,0.0210526315789474,0.0130246020260492,0,0.0144927536231884,0.00743494423791822
147,Agreia sp. COWG,0.006,0.00766283524904215,0,0,0.00961538461538462,0,0.00641025641025641,0,0.00289435600578871,0,0.0072463768115942,0.00371747211895911
148,Sphingomonas sanguinis,0.006,0.0191570881226054,0.015748031496063,0,0.00961538461538462,0.00925925925925926,0.00641025641025641,0.0210526315789474,0.00578871201157742,0,0.0144927536231884,0.016728624535316
149,Comamonas testosteroni,0.04,0.0613026819923372,0.0393700787401575,0,0.0192307692307692,0.0555555555555556,0.0448717948717949,0.0526315789473684,0.0289435600578871,0.0384615384615385,0.036231884057971,0.033457249070632
150,Candidatus Phaeomarinobacter ectocarpi,0.002,0,0,0,0,0.00462962962962963,0,0,0.00289435600578871,0,0,0.00185873605947955
151,Pseudomonas aeruginosa,0.278,0.191570881226054,0.204724409448819,0.153846153846154,0.173076923076923,0.138888888888889,0.282051282051282,0.263157894736842,0.111432706222865,0.269230769230769,0.195652173913043,0.150557620817844
152,Burkholderia cepacia,0.008,0.00766283524904215,0,0,0.00961538461538462,0.00925925925925926,0.00641025641025641,0.0105263157894737,0.00868306801736614,0,0.0217391304347826,0.00929368029739777
153,Pseudomonas fluorescens,0.072,0.0881226053639847,0.0551181102362205,0.0512820512820513,0.0673076923076923,0.0648148148148148,0.0512820512820513,0.0842105263157895,0.044862518089725,0.115384615384615,0.072463768115942,0.0669144981412639
154,Pseudomonas fragi,0.004,0,0.0078740157480315,0,0,0,0,0,0.00144717800289436,0,0.0072463768115942,0.00185873605947955
155,Pandoraea oxalativorans,0.064,0.0651340996168582,0.078740157480315,0.0512820512820513,0.0961538461538462,0.0555555555555556,0.16025641025641,0.115789473684211,0.0868306801736614,0.0769230769230769,0.0869565217391304,0.0446096654275093
156,Hydrogenophilus thermoluteolus,0.024,0.0229885057471264,0.0236220472440945,0,0.00961538461538462,0.0138888888888889,0.0448717948717949,0.0105263157894737,0.0159189580318379,0,0.0144927536231884,0.0148698884758364
157,Pseudomonas mendocina,0.12,0.157088122605364,0.181102362204724,0.205128205128205,0.240384615384615,0.152777777777778,0.16025641025641,0.136842105263158,0.0709117221418234,0.0769230769230769,0.0797101449275362,0.157992565055762
158,Pseudomonas viridiflava,0.02,0.0306513409961686,0.0551181102362205,0.0769230769230769,0.00961538461538462,0.0138888888888889,0,0.0210526315789474,0.0173661360347323,0,0.115942028985507,0.0204460966542751
159,Pseudomonas oleovorans,0.002,0.00383141762452107,0.0078740157480315,0,0,0,0.00641025641025641,0,0,0,0,0.00185873605947955
160,Pseudomonas putida,0.154,0.272030651340996,0.188976377952756,0.102564102564103,0.211538461538462,0.180555555555556,0.166666666666667,0.221052631578947,0.107091172214182,0.230769230769231,0.0797101449275362,0.176579925650558
161,Enterobacter soli,0.012,0.0229885057471264,0.0236220472440945,0,0,0.00925925925925926,0.0128205128205128,0.0210526315789474,0.00723589001447178,0,0.0217391304347826,0.00557620817843866
162,Stenotrophomonas sp. LM091,0.018,0.0114942528735632,0.0236220472440945,0.0512820512820513,0,0.00925925925925926,0,0.0210526315789474,0.0130246020260492,0,0.0072463768115942,0.00929368029739777
163,Mariniblastus fucicola,0.004,0.00383141762452107,0,0,0,0,0,0,0.00289435600578871,0,0.0072463768115942,0.00185873605947955
164,Romboutsia sp. CE17,0.036,0,0,0.0256410256410256,0,0.00462962962962963,0.00641025641025641,0.0421052631578947,0.00578871201157742,0,0.0217391304347826,0.00185873605947955
165,Kluyveromyces lactis,0.09,0.0919540229885057,0.141732283464567,0.102564102564103,0.0865384615384615,0.0462962962962963,0.0769230769230769,0.0736842105263158,0.0434153400868307,0.0769230769230769,0.0942028985507246,0.0613382899628253
