Geneid,sample1,sample2,sample3,sample4,sample5,sample6
LINC01134,61,62,58,65,65,59
LINC01346,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0
AL805961.1,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0
LINC01777,0,1,0,0,0,0
AL355602.1,0,0,0,0,0,0
Z98747.1,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0
AJAP1,8,36,2,12,4,2
Z98886.1,0,0,0,0,0,0
BX005132.1,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0
AL139823.1,0,0,0,0,0,0
Z98259.3,0,0,0,0,0,0
Z98259.2,0,0,0,0,0,0
Z98259.1,0,0,0,0,0,0
Z97988.2,0,0,0,0,0,0
AL365255.1,0,2,0,0,0,0
Z97988.1,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0
NPHP4,386,388,174,340,232,312
KCNAB2,213,182,174,153,155,178
CHD5,5,0,4,6,3,12
AL031847.2,0,0,0,0,0,0
RPL22,4249,4236,2765,3906,3048,3109
AL031847.1,25,15,9,36,21,34
RNF207,5660,4577,2918,4479,4343,4572
ICMT,5196,4694,4307,4738,3952,6566
LINC00337,8,20,31,22,8,51
HES3,0,1,0,0,0,0
GPR153,1179,1230,1251,1085,1041,743
ACOT7,1649,2019,1534,1932,1086,1971
AL031848.2,0,0,0,0,0,0
HES2,42,2,8,4,20,46
ESPN,6,2,15,2,2,19
MIR4252,0,0,0,0,0,0
AL031848.1,0,0,0,2,0,0
TNFRSF25,452,453,374,565,278,282
PLEKHG5,2895,2985,5234,3561,1939,2168
NOL9,1166,1109,637,1029,836,1115
RNU6-731P,0,0,0,0,2,0
AL591866.1,0,5,1,8,4,3
TAS1R1,5,0,2,2,8,0
ZBTB48,471,537,299,538,357,459
KLHL21,9727,10865,14032,12382,6596,8190
PHF13,1818,1760,1371,1889,1360,1814
THAP3,481,390,259,378,351,585
DNAJC11,2548,2055,1622,2242,1828,4071
LINC01672,0,0,0,0,0,0
AL591163.1,0,0,0,0,0,0
CAMTA1-DT,22,29,40,20,18,9
CAMTA1,1919,1787,1610,1907,1390,1602
AL590128.1,0,0,0,0,0,0
AL512330.1,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0
CAMTA1-IT1,0,0,0,4,1,3
CAMTA1-AS2,0,0,0,0,0,0
CAMTA1-AS1,0,0,0,0,0,0
AL359881.3,4,0,0,0,0,0
AL359881.2,0,0,2,0,4,0
AL359881.1,0,2,0,1,0,1
VAMP3,4529,4660,4041,4754,3521,4600
Z98884.2,22,26,9,33,7,15
PER3,310,279,162,241,243,245
Z98884.1,1,1,0,0,0,0
UTS2,0,0,0,0,2,0
TNFRSF9,10,93,64,50,18,18
AL009183.1,0,0,0,0,0,0
PARK7,5137,5188,4514,5506,3932,9653
AL034417.1,0,2,1,4,0,0
AL034417.5,7,8,12,9,4,4
AL034417.4,0,0,0,0,0,0
ERRFI1,1109,1399,3505,1343,801,793
AL034417.3,0,0,0,2,0,0
AL034417.2,0,0,0,0,0,0
AL358876.1,0,0,0,4,0,0
LINC01714,4,1,12,0,0,0
RNU1-7P,0,0,0,0,0,0
AL358876.2,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0
SLC45A1,38,54,74,41,20,13
AL356072.1,0,0,6,1,0,0
RERE,10155,10591,7409,11226,7735,8059
RERE-AS1,1,7,2,3,2,2
AL096855.1,0,1,0,0,0,0
AL096855.2,0,0,0,6,0,0
RPL7P11,0,6,0,0,0,0
RPL7P7,2,1,0,9,0,0
AL357552.1,0,0,0,0,0,0
AL357552.2,0,1,2,0,0,0
AL357552.3,0,0,0,0,0,1
RPL23AP19,0,0,0,0,0,0
ENO1,30030,30976,20063,23340,21587,46013
MIR6728,0,0,0,0,0,0
ENO1-AS1,5,8,3,4,2,8
RNU6-304P,0,1,0,1,0,0
HMGN2P17,0,0,0,0,0,0
AL139415.1,2,0,0,0,0,0
AL139415.2,0,0,0,0,0,0
CA6,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0
SLC2A7,0,0,0,2,6,0
SLC2A5,8,0,4,0,17,21
AL158048.1,0,0,0,0,0,0
GPR157,396,362,210,307,349,513
MIR34AHG,1164,633,999,922,870,1353
MIR34A,0,0,0,0,0,0
LNCTAM34A,192,101,208,168,146,225
H6PD,3646,3311,1820,3119,2707,3322
SPSB1,1145,599,942,566,730,818
BX323043.1,0,0,0,0,0,0
LINC02606,26,24,16,15,11,28
RNA5SP40,0,0,0,0,0,0
AL928921.1,0,0,0,0,0,0
SLC25A33,605,772,768,779,433,751
AL954705.1,4,5,2,7,10,32
TMEM201,1251,1217,696,1206,970,856
PIK3CD,542,562,382,427,355,454
PIK3CD-AS1,0,0,0,0,0,0
AL691449.1,0,0,0,0,0,0
PIK3CD-AS2,113,105,74,114,119,45
CLSTN1,5759,6358,4921,6348,4183,6851
MZT1P1,0,0,0,0,0,0
AL357140.3,0,0,0,0,0,0
CTNNBIP1,3219,3243,3212,3064,2149,2488
AL357140.1,0,0,0,0,0,0
AL357140.4,11,4,5,10,0,2
LZIC,2211,2273,1679,2392,1794,1635
AL357140.2,13,28,14,33,36,13
NMNAT1,834,843,716,910,707,1581
RN7SKP269,10,2,12,12,5,27
TMEM274P,8,11,2,9,6,13
MIR5697,0,0,1,8,1,2
AL603962.1,0,0,0,0,0,0
RBP7,64,18,24,16,24,96
UBE4B,4344,4232,2859,4123,3474,5738
AL590639.1,0,0,0,1,0,0
PGAM1P11,2,0,0,0,0,2
RNU6-828P,5,0,0,5,6,0
KIF1B,7935,7262,5850,8022,6413,8410
AL358013.1,0,0,0,0,0,0
RNU6-37P,0,0,2,4,0,0
RN7SL731P,0,0,0,0,0,0
AL139424.3,12,27,14,29,3,39
AL139424.2,12,21,14,4,2,12
PGD,7918,7694,4646,7074,5472,12381
AL139424.1,0,0,0,2,0,0
CENPS-CORT,13,6,1,7,0,0
CENPS,17,18,19,27,18,2
CORT,27,14,10,17,14,6
DFFA,3159,3052,2138,2814,2348,3724
AL354956.1,0,0,0,0,0,0
PEX14,1214,1299,942,1216,922,964
AL139423.2,42,4,6,8,15,12
RN7SL614P,4,0,0,0,0,2
CASZ1,5263,4943,3753,5598,3778,3012
AL139423.1,79,69,59,100,50,40
HSPE1P24,0,0,0,0,0,0
C1orf127,84,101,73,140,35,98
CFL1P6,0,0,0,1,0,0
TARDBP,2959,2827,1876,2711,2164,3086
AL109811.3,0,0,0,0,0,0
MASP2,86,88,71,100,82,107
AL109811.2,41,44,24,38,25,12
SRM,2978,3007,2232,2672,2098,2775
EXOSC10,2168,1986,1235,1891,1460,3317
AL109811.1,4,9,1,3,4,2
EXOSC10-AS1,15,26,12,22,4,36
MTOR,5848,5071,4017,5611,4147,10362
MTOR-AS1,5,0,0,2,3,0
RNU6-537P,0,0,0,0,0,0
ANGPTL7,66,61,136,88,23,80
RNU6-291P,0,1,0,0,0,0
RPL39P6,4,0,0,0,1,0
UBIAD1,959,843,655,889,659,951
UBE2V2P3,7,5,0,9,4,2
AL031291.1,0,0,0,0,0,0
MTCYBP45,0,0,0,0,0,0
DISP3,8,19,6,22,11,0
AL590989.1,0,0,0,0,0,0
LINC01647,0,4,0,0,0,0
AL031731.1,0,4,8,8,6,0
FBXO2,1149,1012,1089,1128,877,934
FBXO44,1179,1025,954,1100,787,1004
FBXO6,228,81,128,104,189,176
MAD2L2,1057,992,738,911,723,1084
DRAXIN,65,72,26,35,20,42
AGTRAP,933,917,642,726,650,697
C1orf167,0,1,0,0,0,0
C1orf167-AS1,0,0,0,0,0,0
MTHFR,3627,3575,3440,3585,2577,4040
CLCN6,2954,2698,2318,3115,2010,4076
AL021155.3,0,0,0,0,0,0
AL021155.4,0,0,0,0,0,0
NPPA,88424,96785,121539,120085,70733,162104
AL021155.2,0,0,0,0,0,0
NPPB,33740,34246,48165,48085,20970,24174
AL021155.1,2,2,3,5,0,0
AL021155.5,4,7,4,9,4,20
RNU5E-1,0,0,0,0,0,0
RNU5E-4P,0,0,1,0,0,0
KIAA2013,3980,3876,3496,4040,2699,2417
PLOD1,10100,9026,9951,9618,6864,12459
AL096840.3,17,4,10,4,2,14
MFN2,18654,18501,18727,20551,12598,24328
AL096840.2,0,0,0,0,0,0
MIIP,930,1317,1633,1344,469,639
AL096840.1,5,7,3,6,2,8
MIR6729,0,0,0,0,0,0
RN7SL649P,0,0,0,0,0,0
TNFRSF8,38,12,6,3,20,10
RNU6-777P,0,0,0,0,0,0
RPL23AP89,0,0,0,0,0,0
AL357835.1,0,0,0,0,0,0
MIR7846,0,0,0,0,0,0
TNFRSF1B,14,62,10,46,23,24
MIR4632,0,0,0,0,0,0
RPL10P17,0,0,0,0,0,0
AL031276.1,0,0,0,0,0,0
VPS13D,3510,3450,2130,3351,2446,5649
SNORA59A,10,2,3,5,5,15
LINC02766,0,0,0,1,0,0
DHRS3,278,220,139,194,196,232
RNU6ATAC18P,0,0,0,2,1,2
MIR6730,0,0,0,0,1,0
AC254633.1,22,11,9,9,5,6
AADACL4,0,0,0,0,0,0
AC244670.1,0,0,0,0,0,0
AADACL3,1,0,0,0,0,0
C1orf158,0,0,0,0,0,0
PRAMEF12,4,2,0,2,4,0
PRAMEF1,0,2,0,0,4,0
LINC01784,0,0,0,0,0,0
PRAMEF11,0,0,0,0,2,0
PRAMEF30P,0,0,0,0,0,0
HNRNPCL1,0,0,1,0,0,0
PRAMEF2,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0
RNU6-1072P,0,0,0,0,0,0
PRAMEF29P,0,0,0,0,0,0
PRAMEF6,0,2,0,0,0,0
PRAMEF28P,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0
AC245056.1,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0
PRAMEF18,0,0,0,0,1,0
PRAMEF31P,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0
PRAMEF32P,0,0,0,0,0,0
RNU6-771P,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0
AC243961.1,0,0,0,0,0,0
PRAMEF14,0,2,0,0,0,0
PRAMEF19,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0
PRAMEF20,0,0,0,0,2,0
LRRC38,4,0,6,0,6,6
AL354712.1,0,0,0,0,0,0
BRWD1P1,0,0,0,0,0,0
PDPN,4267,3189,2729,3217,3128,5795
RNA5SP41,0,0,0,0,0,1
AL359771.1,0,0,0,0,0,0
AL359771.2,0,0,0,0,0,0
PRDM2,2403,2439,1662,2573,1642,2506
KAZN,1009,811,888,888,645,692
RNU6-1265P,0,0,0,0,0,0
AL357873.1,0,0,0,0,0,0
KAZN-AS1,0,0,0,0,0,0
TBCAP2,0,4,0,2,0,0
AL031293.1,0,4,2,2,0,0
TMEM51-AS1,44,67,20,79,57,94
TMEM51,657,554,277,601,473,577
C1orf195,0,2,0,3,2,0
AL035405.1,1,0,0,0,0,2
AL391094.1,0,0,0,0,0,2
FHAD1,14,18,6,13,18,15
FHAD1-AS1,0,0,0,0,0,0
AL031283.2,0,1,0,0,0,0
AL031283.1,0,0,0,2,10,5
EFHD2,825,815,571,617,637,549
CTRC,0,0,0,0,0,0
CELA2A,2,0,0,0,0,0
CELA2B,4,2,0,12,2,9
CASP9,802,760,691,841,561,1009
DNAJC16,1590,1453,826,1543,1208,1745
SCARNA21B,0,0,0,0,0,0
AL121992.3,0,2,0,1,0,0
AGMAT,53,8,18,10,34,35
AL121992.1,1,0,0,0,12,0
CHCHD2P6,3,8,3,2,4,13
RNU7-179P,0,0,0,0,0,0
CD24P1,0,0,0,0,0,0
DDI2,2064,2053,1135,2094,1546,1613
RSC1A1,0,0,0,0,0,0
AL121992.2,0,0,0,0,1,0
PLEKHM2,5553,5194,4564,5176,3667,5253
AL450998.3,34,56,10,30,12,42
SLC25A34,84,50,49,46,50,31
SLC25A34-AS1,0,0,0,0,0,2
TMEM82,0,0,0,6,1,0
FBLIM1,5617,7453,8384,7964,3865,5483
RPL12P14,4,0,2,2,0,0
UQCRHL,268,213,193,213,174,411
AL450998.1,2,0,0,0,1,3
AL450998.2,253,270,310,270,245,215
SPEN,2725,2986,2599,2740,2071,2581
AL034555.1,0,0,0,0,0,0
ZBTB17,1493,1214,897,1241,959,1197
AL355994.4,1,0,0,11,0,0
AL355994.1,0,0,0,0,0,0
AL355994.5,0,0,0,0,0,0
TBC1D3P6,0,0,0,0,0,0
SRARP,0,0,7,0,0,0
AL355994.3,0,0,0,0,0,0
HSPB7,169993,112192,90344,114203,119298,151662
CLCNKA,151,105,114,162,144,173
AL355994.2,13,5,8,5,0,5
CLCNKB,579,373,325,350,468,452
FAM131C,149,75,65,81,61,78
EPHA2,6674,7442,9994,7900,4505,5560
AL451042.2,20,10,31,12,34,27
AL451042.1,7,17,10,17,8,3
ARHGEF19-AS1,0,0,0,0,0,0
ARHGEF19,87,85,58,69,53,91
ANO7L1,18,8,24,17,15,26
AL109627.1,412,370,269,498,307,476
CPLANE2,313,305,243,397,254,293
MT1XP1,0,0,0,5,0,6
FBXO42,1240,1270,1074,1390,886,1735
SZRD1,5426,5198,4765,5166,4083,5502
RPL22P3,13,2,5,3,4,0
SPATA21,1,0,3,2,0,0
NECAP2,935,992,605,817,675,1176
LINC01772,36,31,20,48,33,73
CROCCP3,395,306,193,263,264,246
RNU1-1,0,0,0,0,0,0
AL137802.2,2,1,3,0,1,3
AL137802.3,0,0,0,0,0,0
AL137802.1,0,0,0,0,0,0
LINC01783,25,5,3,12,1,0
RNU1-6P,0,0,0,0,0,0
AL355149.1,0,0,0,0,0,0
NBPF1,1202,1132,798,1184,1007,1266
AL137798.1,0,1,0,0,0,0
CROCCP2,1045,1029,791,852,900,672
AL137798.3,0,0,0,0,0,0
MST1P2,98,55,32,83,27,58
AL137798.2,1,0,0,0,0,0
RNU1-3,0,0,0,0,0,0
AL021920.2,0,0,0,0,0,0
EIF1AXP1,174,142,136,200,154,129
ESPNP,4,0,10,0,11,0
AL021920.1,0,0,0,0,0,0
AL021920.3,0,0,0,0,0,0
CROCC,541,468,356,413,326,240
CROCCP4,0,0,1,0,0,0
RNU1-4,1,0,2,0,0,0
MST1L,10,20,25,17,11,12
BX284668.1,0,0,0,0,0,0
BX284668.3,0,0,0,0,0,0
MIR3675,0,0,0,0,0,0
BX284668.2,62,64,34,47,48,77
RNU1-5P,0,0,0,0,0,0
BX284668.5,38,17,17,24,13,12
BX284668.4,0,0,0,0,0,0
RNU1-2,0,0,0,2,0,0
BX284668.6,8,0,4,0,0,4
MFAP2,745,729,353,571,482,497
AL049569.2,0,1,0,0,2,0
AL049569.1,6,0,0,0,1,0
ATP13A2,1811,2056,1461,1914,1316,1179
SDHB,3277,3225,3056,3481,2575,6113
PADI2,44,73,25,47,47,52
LINC02783,2,15,4,0,0,26
AL590644.1,0,0,0,0,0,0
PADI1,58,48,24,23,65,41
PADI3,2,8,0,4,0,0
MIR3972,0,0,0,0,0,0
PADI4,0,0,0,0,0,0
PADI6,0,1,0,0,0,0
RCC2,4478,4158,2562,3433,3330,4582
RCC2-AS1,0,0,0,0,0,0
ARHGEF10L,3618,3229,2639,3286,2514,2668
LINC02810,2,0,0,0,0,0
ACTL8,10,0,0,0,30,0
AL357509.1,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0
IGSF21,0,2,0,0,2,0
AL365209.1,0,0,0,0,0,0
IGSF21-AS1,0,0,0,0,0,0
AL591896.1,0,0,4,0,0,0
KLHDC7A,199,100,208,139,114,189
DYNLL1P3,0,0,0,0,0,0
AL031737.1,0,0,0,0,0,0
PAX7,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0
ALDH4A1,5764,5027,4312,5232,4187,5674
MIR4695,0,0,0,0,0,0
MIR1290,1,2,4,0,0,1
IFFO2,869,1075,1938,1231,715,894
AL137127.1,36,39,10,32,16,33
UBR4,23523,20235,10243,19694,17491,36259
EMC1-AS1,23,14,18,23,11,9
EMC1,3949,4302,2629,4047,2785,4964
MRTO4,1592,1504,986,1322,1116,1982
AL035413.2,15,3,13,2,2,19
AKR7L,12,4,5,7,7,8
AKR7A3,16,14,4,14,26,0
AL035413.1,46,74,51,49,46,48
AKR7A2,1602,1611,1003,1575,1136,1436
RNU6-1099P,2,7,2,1,6,8
SLC66A1,925,935,818,1000,611,744
CAPZB,6654,7972,6935,7551,5160,11148
RN7SL277P,0,0,0,0,0,0
MICOS10,169,247,168,206,152,137
RNU4-28P,0,0,0,0,0,0
AL031727.2,0,0,2,1,0,6
NBL1,165,156,77,112,118,97
MICOS10-NBL1,2,0,0,0,0,0
AL031727.1,7,9,2,9,3,9
HTR6,2,0,0,0,0,0
TMCO4,170,61,201,45,122,186
RNF186,0,0,0,0,0,0
AL391883.1,0,0,0,0,0,0
OTUD3,735,717,927,908,524,648
PLA2G2E,0,0,0,0,0,0
RN7SL304P,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,4
PLA2G5,0,0,0,0,6,0
PLA2G2D,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0
Z98257.1,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0
UBXN10-AS1,2,1,10,0,14,0
UBXN10,54,25,126,28,31,82
LINC01757,0,0,0,0,0,0
Z98257.2,0,0,0,0,0,0
VWA5B1,6,0,4,0,0,0
AL020998.1,0,0,0,0,0,0
LINC01141,0,0,0,0,0,0
AL139254.1,0,0,0,0,0,0
AL139254.2,0,0,0,0,0,0
AL139254.3,0,0,0,0,0,0
CAMK2N1,94,46,37,38,115,51
MUL1,2110,2068,1727,2110,1437,2787
RPS4XP4,0,0,0,0,0,0
FAM43B,30,30,70,24,21,12
CDA,7,8,3,11,0,8
PINK1,2112,1834,2228,2117,1578,2101
MIR6084,0,0,0,0,0,0
PINK1-AS,172,260,130,159,112,201
DDOST,11979,11437,10578,11484,8410,19056
KIF17,60,82,40,48,52,82
AL663074.2,0,0,0,1,0,0
SH2D5,42,40,76,75,35,51
AL663074.1,0,0,0,0,0,0
HP1BP3,4101,4683,3236,4753,3532,3874
EIF4G3,7383,6973,5686,7623,5620,10021
RNU7-200P,0,0,0,0,0,0
MIR1256,0,0,0,0,0,0
RPS15AP6,0,0,0,0,0,0
AL627311.1,0,0,0,0,0,0
HSPE1P27,1,1,0,3,0,0
AL031005.2,3,4,5,7,10,4
ECE1,8803,8898,8266,8598,6275,8975
AL031005.1,0,2,6,4,10,0
ECE1-AS1,5,10,6,3,3,15
PPP1R11P1,0,0,0,0,0,0
AL592309.1,0,0,0,0,0,0
AL592309.2,0,0,0,0,0,0
NBPF2P,10,13,9,5,8,23
HS6ST1P1,1,9,21,13,16,5
CROCCP5,0,0,0,0,0,0
NBPF3,334,349,234,310,271,437
PFN1P10,0,0,3,0,0,0
ALPL,291,211,140,120,233,185
LINC02596,0,0,0,0,0,0
RAP1GAP,1862,1160,1156,1276,1207,1755
