Geneid,NCH3_2_DAPT,NCH3_1_DAPT,NCH1_2_DAPT,NCH3_2_DMSO,NCH1_1_DAPT,NCH1_1_DMSO,NCH1_2_DMSO,NCH3_1_DMSON
TTLL10-AS1,0,0,2,0,0,0,0,0
TTLL10,0,0,6,0,0,0,8,0
TNFRSF18,4,4,0,0,0,4,6,5
TNFRSF4,6,0,0,0,0,0,2,0
SDF4,8451,6888,4555,6312,6982,6951,6154,5730
B3GALT6,2373,2067,2342,1815,2498,2888,3124,1607
C1QTNF12,107,84,69,43,47,48,171,16
AL162741.1,27,9,11,21,17,4,2,4
UBE2J2,2226,2104,2314,1782,2054,1920,2406,1395
LINC01786,20,20,69,19,14,15,39,2
SCNN1D,203,183,361,189,155,237,342,117
ACAP3,3077,3285,3217,2621,3164,2961,3159,2683
MIR6726,0,0,0,0,0,0,0,0
PUSL1,403,355,632,320,431,355,680,252
INTS11,2610,2432,3890,2470,2136,2529,3992,1550
MIR6727,0,0,0,0,0,0,0,0
AL139287.1,65,60,82,57,70,53,66,47
CPTP,1234,1166,822,1176,1202,1193,1172,967
TAS1R3,60,44,30,48,37,62,32,60
DVL1,1908,2180,3573,1703,1678,1677,3755,1463
MIR6808,0,0,0,0,0,0,0,0
MXRA8,1042,1603,6446,1393,811,906,5426,1050
AURKAIP1,3871,4139,4597,3001,3697,3682,4466,3345
NDUFB4P8,0,2,0,0,0,0,0,0
CCNL2,3983,4483,8582,4058,3898,4904,8054,2846
MRPL20-AS1,464,534,762,446,508,529,709,501
MRPL20,1736,1828,2417,1643,2119,2120,2561,1363
RN7SL657P,0,0,0,0,0,0,0,0
AL391244.2,119,66,230,103,107,103,192,42
ANKRD65,0,0,59,4,0,6,74,2
AL391244.1,0,0,6,0,0,0,12,0
TMEM88B,5,6,84,9,0,14,148,2
LINC01770,9,36,60,30,6,1,75,30
VWA1,309,415,2846,356,166,339,2903,450
ATAD3C,5,4,37,4,0,7,43,1
ATAD3B,873,1007,2937,758,1016,1421,2917,620
AL645728.2,26,6,18,20,15,6,0,22
ATAD3A,1692,1554,2491,1315,2119,1830,2898,1259
TMEM240,231,306,227,293,254,263,265,189
SSU72,4681,4318,4780,3792,4089,4200,5240,3594
AL645728.1,41,40,50,63,51,74,84,12
AL691432.3,0,0,0,0,0,0,0,0
FNDC10,1186,1092,1442,861,932,1055,1242,1162
AL691432.4,29,27,86,14,18,46,27,48
AL691432.2,780,717,455,778,581,865,612,340
MIB2,4501,4742,2545,4495,3670,4750,3316,3317
MMP23B,278,389,108,480,879,786,334,312
CDK11B,1272,1509,1502,1308,1233,1427,1684,955
FO704657.1,0,3,0,4,3,0,0,0
SLC35E2B,3331,2946,1543,2758,1326,1494,1732,1842
AL691432.1,83,54,56,47,71,55,62,32
MMP23A,11,52,27,43,511,140,33,13
CDK11A,29,40,31,20,37,30,22,8
AL031282.2,86,93,107,173,74,86,122,35
AL031282.1,31,27,21,28,16,36,22,11
SLC35E2A,978,912,1989,993,1827,1866,2104,513
NADK,977,1101,2777,1065,1007,1123,3316,839
GNB1,14165,11284,16171,9816,12706,12776,18743,8887
AL109917.1,11,45,27,28,35,34,12,20
CALML6,0,0,12,2,2,8,4,0
TMEM52,16,2,86,11,12,16,122,24
CFAP74,0,2,12,0,0,0,28,9
AL391845.2,0,0,0,0,0,0,0,0
GABRD,0,0,20,0,0,4,8,0
AL391845.1,0,2,3,0,0,5,0,0
PRKCZ,1355,1156,627,1042,1149,1004,1013,1010
AL590822.2,10,7,0,16,9,2,2,2
PRKCZ-AS1,89,149,77,160,110,75,124,76
FAAP20,1812,2023,2791,1698,2454,2637,3534,1469
AL590822.1,0,0,0,4,0,0,0,0
SKI,4234,3886,4637,3373,3179,3938,5690,2241
AL590822.3,87,96,200,82,116,74,184,77
MORN1,326,257,263,361,167,244,251,191
AL589739.1,0,0,2,8,0,0,0,0
AL513477.1,34,41,87,85,24,77,69,26
AL513477.2,47,14,12,8,36,12,12,0
RER1,2618,2325,2101,2140,2197,2360,2755,1661
PEX10,751,654,981,681,742,686,1125,524
PLCH2,28,34,206,34,43,44,105,9
AL139246.1,0,4,0,1,0,1,5,0
AL139246.4,0,0,2,2,5,12,7,2
PANK4,1973,2029,1062,1794,1646,1499,1577,1707
HES5,0,0,66,0,0,0,4,0
AL139246.5,10,0,41,12,4,6,29,18
TNFRSF14-AS1,0,0,10,0,0,0,1,0
TNFRSF14,0,0,21,0,0,0,14,2
AL139246.2,0,0,0,0,0,0,0,0
AL139246.3,0,0,0,2,3,4,0,0
PRXL2B,1098,1157,1750,907,929,942,1666,830
MMEL1,0,0,19,6,0,7,6,7
MMEL1-AS1,0,0,0,0,0,0,0,0
TTC34,92,74,62,67,22,36,25,22
AC242022.2,0,0,0,0,0,0,0,0
AC242022.1,0,0,0,0,0,0,0,0
AL592464.2,0,0,0,0,0,0,0,0
AL592464.3,0,0,0,0,0,0,4,0
AL592464.1,0,0,0,0,0,0,0,0
AL589702.1,0,0,0,0,0,0,0,0
ACTRT2,2,0,2,0,0,0,0,6
PRDM16-DT,1263,2525,758,2563,1548,2563,1196,1280
PRDM16,2078,2892,944,3272,1922,2864,1305,1552
MIR4251,0,0,0,0,0,0,0,0
AL008733.1,0,1,0,5,0,2,1,6
AL512383.1,6,20,0,9,0,0,0,2
AL590438.1,49,46,4,18,24,35,18,56
AL354743.2,38,48,7,58,4,12,5,102
AL354743.1,28,18,2,18,4,6,0,9
ARHGEF16,112,146,637,113,183,225,602,132
AL512413.1,8,0,0,0,10,0,2,0
MEGF6,4506,3184,1985,2858,3828,3098,1897,1990
MIR551A,6,0,0,0,0,0,0,0
AL513320.1,12,2,26,2,0,2,12,6
TPRG1L,2748,1912,1415,1825,1971,1834,1502,1558
WRAP73,443,386,810,325,363,345,856,244
TP73,16,27,66,10,14,26,106,0
AL136528.1,0,0,1,0,0,0,0,0
AL136528.2,3,0,0,0,0,0,0,0
TP73-AS1,2000,1559,2032,1610,1816,2161,2015,1016
AL136528.3,0,0,0,0,0,0,0,0
CCDC27,90,123,28,44,47,56,20,44
SMIM1,220,289,144,261,221,164,184,245
LRRC47,4497,4362,2967,3907,3777,4245,3916,3309
RN7SL574P,10,4,0,5,3,3,0,2
AL365330.1,57,29,18,13,26,39,30,5
CEP104,1225,890,769,919,846,868,949,543
DFFB,166,142,374,93,104,52,267,79
C1orf174,444,308,1062,334,490,512,1071,189
LINC01134,48,28,3,49,44,8,14,32
LINC01346,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0
AL805961.1,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0
AL355602.1,0,0,0,0,0,0,0,0
Z98747.1,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0
AJAP1,18,10,172,2,20,6,207,0
Z98886.1,0,0,0,0,0,0,0,0
BX005132.1,0,0,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0
LINC02782,0,0,6,0,0,0,5,0
AL139823.1,0,0,0,0,0,0,0,0
Z98259.3,0,0,0,0,0,0,0,0
Z98259.2,0,0,0,0,0,0,0,0
Z98259.1,0,0,0,0,0,0,0,0
Z97988.2,0,0,0,0,0,0,0,0
AL365255.1,0,0,0,0,0,0,6,0
Z97988.1,0,0,0,0,0,0,0,0
MIR4689,6,0,0,0,0,0,0,0
NPHP4,421,342,1155,323,251,231,986,214
KCNAB2,181,181,421,191,77,127,491,96
CHD5,6,2,39,31,6,10,36,0
AL031847.2,0,0,0,0,0,0,0,0
RPL22,4378,4647,7165,3927,4452,5261,6109,2618
AL031847.1,192,125,18,99,52,53,7,125
RNF207,8316,8761,1974,8698,8755,9281,4346,5574
ICMT,4414,3827,4870,3730,4284,4351,5703,3191
LINC00337,12,10,124,9,18,26,87,6
HES3,0,0,223,6,0,0,193,0
GPR153,673,909,2280,760,461,640,2162,800
ACOT7,1562,1301,3212,1097,1615,1462,3726,979
AL031848.2,0,0,0,0,0,0,0,0
HES2,0,10,86,4,8,48,32,0
ESPN,2,0,104,3,6,3,197,0
MIR4252,0,0,0,0,0,0,0,0
AL031848.1,0,0,0,0,0,0,0,0
TNFRSF25,327,234,310,184,185,143,257,126
PLEKHG5,1444,1207,1141,931,1129,942,1319,1014
NOL9,1328,1141,1235,1021,860,914,1277,796
RNU6-731P,0,0,3,0,0,0,0,0
AL591866.1,9,7,1,6,6,11,7,6
TAS1R1,6,4,2,6,2,0,6,0
ZBTB48,565,553,662,537,366,390,647,320
KLHL21,10324,8268,1980,7138,8926,8736,3035,5087
PHF13,1719,1685,1951,1586,1937,2256,2124,801
THAP3,425,403,554,359,278,419,615,326
DNAJC11,2336,1567,1581,1578,1601,1583,1859,1447
LINC01672,0,0,0,0,0,0,0,0
AL591163.1,0,0,0,0,0,0,6,0
CAMTA1-DT,17,36,64,46,52,41,109,19
CAMTA1,1992,2032,1957,1554,1943,1963,1899,1592
AL590128.1,0,4,2,2,0,0,0,0
AL512330.1,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0
CAMTA1-IT1,1,2,3,0,8,0,0,0
CAMTA1-AS2,0,0,2,0,0,0,0,0
CAMTA1-AS1,0,0,2,0,0,0,4,0
AL359881.3,0,0,2,0,0,0,14,0
AL359881.2,0,6,4,0,0,0,1,0
AL359881.1,0,0,8,0,0,0,0,6
VAMP3,4229,4004,3738,3281,4045,3859,4404,2669
Z98884.2,30,39,9,19,40,10,4,11
PER3,611,443,259,657,383,455,419,207
Z98884.1,7,9,1,0,1,3,5,4
UTS2,0,0,0,2,0,0,4,0
TNFRSF9,115,170,28,36,91,57,136,23
AL009183.1,0,0,0,0,0,0,0,0
PARK7,5536,5049,6890,4671,5396,5564,6581,4019
AL034417.1,0,0,0,1,4,0,0,0
AL034417.5,7,10,15,5,4,0,13,0
AL034417.4,1,0,0,0,0,0,1,0
ERRFI1,2022,1444,1805,861,1134,923,1586,684
AL034417.3,10,2,0,0,0,0,2,5
AL034417.2,0,0,0,0,4,0,0,0
AL358876.1,0,0,0,0,0,0,0,0
LINC01714,2,0,0,0,0,0,0,0
RNU1-7P,0,0,0,0,0,0,0,0
AL358876.2,0,0,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0,0,0
SLC45A1,67,48,43,14,10,30,24,17
AL356072.1,0,0,0,0,0,0,0,0
RERE,9473,7973,5907,6947,8024,7966,6609,4179
RERE-AS1,2,8,0,0,0,0,0,0
AL096855.1,0,0,0,0,0,0,0,0
AL096855.2,0,0,0,0,0,0,0,0
RPL7P11,2,4,0,0,0,0,0,0
RPL7P7,0,0,0,2,0,0,0,0
AL357552.1,0,0,0,0,0,0,0,0
AL357552.2,4,2,0,0,0,0,0,0
AL357552.3,0,0,0,3,0,0,0,0
RPL23AP19,0,0,0,0,0,0,0,0
ENO1,26423,22530,94972,16405,25036,25769,131045,21724
MIR6728,0,0,0,0,0,0,0,0
ENO1-AS1,4,9,19,1,3,15,8,2
RNU6-304P,0,0,0,0,0,0,0,0
HMGN2P17,0,0,0,0,0,0,0,0
AL139415.1,0,0,0,0,0,2,0,0
AL139415.2,0,0,0,0,0,0,0,0
CA6,0,0,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,0
SLC2A5,2,6,10,6,0,4,8,4
AL158048.1,0,0,0,0,0,0,0,0
GPR157,429,474,271,364,226,207,407,681
MIR34AHG,435,371,456,381,583,394,524,337
MIR34A,0,0,0,0,0,0,0,0
LNCTAM34A,47,44,49,66,72,55,50,44
H6PD,5441,5041,3026,5221,3363,3638,3643,2765
SPSB1,371,229,457,247,283,283,485,77
BX323043.1,8,2,2,8,0,0,12,0
LINC02606,30,32,36,18,5,22,45,12
RNA5SP40,0,0,0,0,0,0,0,0
AL928921.1,0,0,0,0,0,0,0,0
SLC25A33,645,477,1075,451,574,633,1135,449
AL954705.1,12,15,8,20,10,5,4,3
TMEM201,1703,1598,1283,1410,1241,1309,1467,1001
PIK3CD,350,440,293,350,211,308,319,233
PIK3CD-AS1,0,0,0,0,0,0,0,0
AL691449.1,0,0,0,0,0,0,0,0
PIK3CD-AS2,43,74,66,31,85,54,123,130
CLSTN1,8248,6743,6165,6025,6069,5871,7024,5076
MZT1P1,0,6,0,0,0,0,0,0
AL357140.3,0,0,0,0,0,0,0,0
CTNNBIP1,2936,2979,2053,2338,2398,2586,2642,2616
AL357140.1,0,0,0,0,0,0,0,0
AL357140.4,13,5,4,6,6,0,3,0
LZIC,2644,2170,1698,1927,2224,2229,1978,1479
AL357140.2,25,15,33,23,6,19,14,7
NMNAT1,1096,1020,415,832,741,567,388,929
RN7SKP269,6,27,0,10,9,7,0,16
TMEM274P,15,16,7,6,14,3,2,8
MIR5697,0,0,0,10,2,0,0,0
AL603962.1,0,0,0,0,0,0,0,0
RBP7,52,48,6,56,21,29,27,58
UBE4B,5231,4529,2713,4375,3553,3792,3557,2687
AL590639.1,0,0,4,0,0,0,0,0
PGAM1P11,2,0,0,2,0,2,0,0
RNU6-828P,4,5,8,2,9,4,3,1
KIF1B,7576,7532,5932,5609,6172,5659,7087,5121
AL358013.1,0,0,0,0,0,0,0,0
RNU6-37P,0,0,0,0,0,0,0,0
RN7SL731P,0,0,0,0,0,0,0,0
AL139424.3,32,12,64,34,13,22,36,3
AL139424.2,47,22,28,8,6,28,34,18
PGD,5515,5247,9381,4874,5643,5946,10656,4127
AL139424.1,0,0,1,0,0,0,6,0
CENPS-CORT,3,4,2,2,1,4,5,3
CENPS,45,36,54,21,39,43,32,20
CORT,32,15,6,16,14,9,8,15
DFFA,2273,2593,2890,2140,2242,2036,3645,2023
AL354956.1,0,0,0,0,0,0,0,0
PEX14,1445,1586,1141,1017,1216,1188,1431,1052
AL139423.2,6,19,26,9,24,18,3,2
RN7SL614P,0,0,0,1,0,10,0,0
CASZ1,4967,4702,741,4295,3767,4469,1880,2681
AL139423.1,124,84,56,134,77,84,128,32
HSPE1P24,0,0,0,0,0,0,0,0
C1orf127,107,100,0,60,51,30,8,62
CFL1P6,4,1,0,2,0,3,0,7
TARDBP,2808,2991,4598,2299,3012,3105,4456,1906
AL109811.3,0,0,0,0,0,0,0,0
MASP2,241,167,168,207,107,100,198,62
AL109811.2,87,53,48,97,61,52,78,47
SRM,2096,1389,3200,1208,1676,1653,3903,1274
EXOSC10,1328,1666,2559,1165,1374,1718,2675,1244
AL109811.1,15,0,4,4,4,0,6,4
EXOSC10-AS1,15,6,8,0,2,4,0,8
MTOR,4319,4171,3519,3712,3332,3371,3749,3426
MTOR-AS1,0,6,0,0,4,0,6,2
RNU6-537P,0,0,0,0,0,0,3,0
ANGPTL7,12,14,3,17,14,14,10,87
RNU6-291P,2,0,0,0,0,0,0,0
RPL39P6,0,3,0,0,0,0,0,0
UBIAD1,989,880,1020,784,706,809,1213,527
UBE2V2P3,0,0,2,2,2,2,5,0
AL031291.1,0,0,5,0,0,0,0,0
MTCYBP45,0,0,0,0,0,0,0,0
DISP3,4,8,174,9,14,21,156,8
AL590989.1,0,0,0,0,0,0,0,0
LINC01647,0,0,1,0,0,0,0,0
AL031731.1,8,0,0,0,0,0,4,0
FBXO2,480,653,490,494,454,523,579,616
FBXO44,1133,1285,705,1054,1073,1032,914,919
FBXO6,117,103,86,94,75,72,114,100
MAD2L2,1099,1168,4665,771,1294,1013,4708,762
DRAXIN,35,35,3485,42,54,17,3352,31
AGTRAP,751,859,1637,677,790,805,1754,724
C1orf167,4,0,13,1,10,0,19,0
C1orf167-AS1,0,0,0,0,0,0,0,0
MTHFR,4475,4008,1405,3633,4067,3682,2480,2212
CLCN6,2083,1953,1389,1721,2170,2285,2271,1292
AL021155.3,0,0,0,0,0,0,0,0
AL021155.4,0,0,0,0,0,0,0,0
NPPA,85693,53524,3561,29511,61074,32606,22879,53828
AL021155.2,0,0,0,0,0,0,0,0
NPPB,8368,10092,504,3853,24848,19592,16830,14664
AL021155.1,7,0,0,0,7,0,0,0
AL021155.5,17,18,10,28,18,22,20,8
RNU5E-1,0,0,0,0,0,0,0,0
RNU5E-4P,6,0,0,4,0,0,0,0
KIAA2013,3946,3983,3449,2853,3140,3464,4286,2781
PLOD1,10801,8165,4923,7442,8295,7987,10194,6249
AL096840.3,27,3,2,10,4,10,0,0
MFN2,19342,16410,5268,13604,17063,15718,11121,14103
AL096840.2,0,0,0,0,0,0,0,0
MIIP,824,674,1478,551,913,819,1867,467
AL096840.1,11,1,4,8,0,2,9,1
MIR6729,0,0,0,0,0,0,0,0
RN7SL649P,0,2,0,0,0,0,0,0
TNFRSF8,0,4,112,0,2,82,107,0
RNU6-777P,0,0,0,0,0,0,0,0
RPL23AP89,0,0,0,0,0,0,0,0
AL357835.1,0,0,0,0,0,0,0,0
MIR7846,0,0,0,0,0,0,0,0
TNFRSF1B,20,31,196,10,12,5,229,0
MIR4632,0,0,0,0,0,0,0,0
RPL10P17,0,0,0,0,0,0,0,0
AL031276.1,0,0,0,0,0,0,0,0
VPS13D,4531,3835,2010,4075,3358,3441,3240,1819
SNORA59A,15,5,3,21,13,14,4,14
LINC02766,0,0,8,0,0,1,0,0
DHRS3,3656,2081,1613,2808,4079,4052,2774,410
RNU6ATAC18P,5,1,3,9,13,6,11,0
MIR6730,4,2,0,0,4,0,0,0
AC254633.1,99,58,13,50,65,87,66,2
AADACL4,0,0,2,2,0,0,1,0
AC244670.1,0,0,0,0,0,0,0,0
AADACL3,0,0,18,0,0,2,18,0
C1orf158,0,0,0,0,0,0,0,0
PRAMEF12,0,0,46,0,0,34,34,2
PRAMEF1,2,0,14,0,0,37,8,1
LINC01784,0,0,0,0,0,0,0,0
PRAMEF11,0,3,9,0,0,7,4,0
PRAMEF30P,0,0,0,0,0,0,0,0
HNRNPCL1,0,1,0,0,0,0,0,0
PRAMEF2,0,0,28,2,0,20,18,0
PRAMEF4,0,4,6,0,0,26,0,0
PRAMEF10,0,0,3,0,0,13,0,0
PRAMEF7,0,0,16,0,0,10,0,0
RNU6-1072P,0,0,0,0,0,0,0,0
PRAMEF29P,0,0,0,0,0,0,0,0
PRAMEF6,0,0,13,0,0,19,2,0
PRAMEF28P,0,3,12,0,0,5,0,0
PRAMEF27,0,0,7,0,0,4,0,0
HNRNPCL3,0,0,6,0,0,0,0,0
PRAMEF25,2,1,6,0,0,4,0,0
PRAMEF34P,0,0,2,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,12,0,0
PRAMEF36P,0,0,0,0,0,2,0,0
AC245056.1,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,1,0,0
HNRNPCL4,0,0,0,0,0,0,0,0
PRAMEF9,0,0,10,0,0,14,0,0
PRAMEF13,0,0,8,0,0,18,0,0
PRAMEF18,0,0,2,0,0,0,0,0
PRAMEF31P,0,0,0,0,0,0,0,0
PRAMEF5,0,0,14,0,0,8,3,0
PRAMEF32P,0,0,0,0,0,0,0,0
RNU6-771P,0,0,0,0,0,0,0,0
PRAMEF8,6,0,12,0,0,41,12,0
PRAMEF33,0,0,0,0,0,8,0,0
PRAMEF15,0,0,14,0,0,18,0,0
AC243961.1,0,0,0,0,0,0,0,0
PRAMEF14,0,0,10,10,0,22,2,0
PRAMEF19,0,0,1,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0
PRAMEF20,0,0,13,2,0,25,18,0
LRRC38,16,14,0,0,0,0,0,6
AL354712.1,2,0,0,0,0,0,0,0
BRWD1P1,0,0,0,0,0,0,0,0
PDPN,5059,4242,2068,3207,4246,4170,2331,3695
RNA5SP41,0,0,0,0,0,0,3,0
AL359771.1,0,0,0,4,0,0,3,0
AL359771.2,0,0,0,0,0,0,0,0
PRDM2,2439,2208,1760,2100,1980,1925,2039,1408
KAZN,885,743,839,433,748,752,924,567
RNU6-1265P,0,0,0,0,0,0,0,0
AL357873.1,0,0,0,0,0,0,0,0
KAZN-AS1,0,0,0,0,0,0,0,0
TBCAP2,0,0,0,0,0,0,2,0
AL031293.1,13,4,2,8,2,6,0,0
TMEM51-AS1,109,91,36,60,59,54,73,18
TMEM51,627,709,364,613,599,641,483,356
C1orf195,2,0,14,0,0,0,0,0
AL035405.1,5,2,0,3,0,0,6,0
AL391094.1,1,2,0,0,0,0,0,0
FHAD1,25,14,19,38,4,7,34,7
FHAD1-AS1,0,0,0,0,0,0,0,0
AL031283.2,0,0,4,0,0,0,0,0
AL031283.1,2,0,5,0,2,5,0,0
EFHD2,1177,951,1298,774,729,569,1218,582
CTRC,0,0,1,0,0,0,0,0
CELA2A,0,2,2,0,0,0,0,0
CELA2B,0,3,0,16,0,2,6,0
CASP9,1479,1663,697,1376,966,1158,777,1276
DNAJC16,1715,1215,771,1060,1108,912,897,900
SCARNA21B,0,0,0,0,0,0,0,0
AL121992.3,0,0,0,0,1,0,0,1
AGMAT,31,15,64,10,10,30,72,48
AL121992.1,0,2,6,2,0,0,4,4
CHCHD2P6,11,2,5,9,8,9,0,2
RNU7-179P,0,0,0,0,0,0,4,0
CD24P1,0,0,0,0,0,0,0,0
DDI2,1841,1508,2030,1386,1172,984,1797,861
RSC1A1,0,0,0,0,0,0,0,0
AL121992.2,0,4,0,0,0,0,1,0
PLEKHM2,5621,4963,2992,4989,4494,4748,4103,3391
AL450998.3,58,48,14,20,4,28,41,17
SLC25A34,35,111,46,62,55,58,62,72
SLC25A34-AS1,0,0,0,0,0,0,0,0
TMEM82,0,0,36,0,2,2,16,0
FBLIM1,7690,7180,2056,6363,6316,6588,3840,5755
RPL12P14,0,0,1,0,0,0,0,0
UQCRHL,336,231,267,236,218,253,289,284
AL450998.1,4,18,5,6,2,11,6,3
AL450998.2,442,436,599,460,608,636,584,286
SPEN,2227,2544,3184,2034,1820,2129,3549,1372
AL034555.1,0,0,0,0,0,0,0,0
ZBTB17,818,1039,1473,860,1086,1138,1391,795
AL355994.4,2,0,0,0,0,0,0,0
AL355994.1,0,0,0,0,0,0,0,0
AL355994.5,0,0,0,0,0,0,0,0
TBC1D3P6,0,0,0,0,0,0,0,0
SRARP,0,0,5,0,0,0,9,0
AL355994.3,0,0,0,0,0,0,0,0
HSPB7,131704,119985,13290,124914,125203,133127,58006,101719
CLCNKA,171,95,61,81,102,164,94,82
AL355994.2,12,0,3,2,7,1,4,0
CLCNKB,354,418,112,301,722,682,356,445
FAM131C,230,167,30,235,128,156,157,259
EPHA2,6298,4149,2412,3455,6021,5107,3965,2483
AL451042.2,27,30,6,26,34,28,12,16
AL451042.1,9,4,0,1,4,0,6,8
ARHGEF19-AS1,0,0,0,0,0,0,0,0
ARHGEF19,58,84,252,51,42,26,329,62
ANO7L1,18,23,6,17,3,10,17,24
AL109627.1,323,369,153,379,301,295,178,336
CPLANE2,400,230,224,298,245,265,180,216
MT1XP1,2,0,1,0,1,3,0,0
FBXO42,1916,1636,1063,1533,1519,1335,1204,1119
SZRD1,5259,4232,4107,4289,5133,4794,4466,3651
RPL22P3,9,17,0,0,2,0,2,2
SPATA21,4,10,14,0,0,2,0,0
NECAP2,762,555,1991,690,646,804,2002,381
LINC01772,47,30,92,90,53,42,103,21
CROCCP3,353,359,422,334,245,299,370,212
RNU1-1,0,0,2,2,2,0,0,0
AL137802.2,0,0,7,2,2,0,2,2
AL137802.3,0,0,0,0,0,0,0,0
AL137802.1,0,0,1,0,0,0,0,0
LINC01783,2,2,16,10,4,2,8,22
RNU1-6P,0,0,0,0,0,0,0,0
AL355149.1,0,0,4,0,0,0,0,0
NBPF1,1313,1084,973,1150,1360,1400,1128,813
AL137798.1,0,0,9,0,0,0,13,0
