"","Metabolic_activity","compound","taxonomy.ID"
"58","Production (export)","C00334","Bifidobacterium adolescentis"
"59","Production (export)","C00334","Bifidobacterium dentium"
"60","Production (export)","C00334","Bifidobacterium longum"
"61","Consumption (import)","C00334","Clostridium acetobutylicum"
"62","Production (export)","C00334","Clostridium botulinum"
"63","Production (export)","C00334","Clostridioides difficile"
"64","Production (export)","C00334","Clostridium sporogenes"
"66","Consumption (import)","C00334","Corynebacterium glutamicum"
"67","Production (export)","C00334","Escherichia coli"
"68","Production (export)","C00334","Levilactobacillus brevis"
"69","Production (export)","C00334","Lacticaseibacillus rhamnosus"
"70","Production (export)","C00334","Pseudomonas aeruginosa"
"71","Production (export)","C00334","Pseudomonas fluorescens"
"72","Production (export)","C00431","Clostridium botulinum"
"73","Production (export)","C00431","Clostridioides difficile"
"74","Production (export)","C00431","Clostridium sporogenes"
"75","Production (export)","C00431","Acetoanaerobium sticklandii"
"77","Production (export)","C00033","Acetivibrio cellulolyticus"
"78","Production (export)","C00033","Acetobacter pasteurianus"
"79","Production (export)","C00033","Acetohalobium arabaticum"
"80","Production (export)","C00033","Acholeplasma laidlawii"
"81","Production (export)","C00033","Acidaminococcus fermentans"
"82","Production (export)","C00033","Gleimia coleocanis"
"83","Production (export)","C00033","Schaalia odontolytica"
"84","Production (export)","C00033","Actinomyces oris"
"85","Production (export)","C00033","Actinomyces urogenitalis"
"86","Production (export)","C00033","Actinomyces viscosus"
"87","Consumption (import) & production (export)","C00033","Anaerostipes caccae"
"88","Production (export)","C00033","Anaerotruncus colihominis"
"89","Production (export)","C00033","Archaeoglobus fulgidus"
"90","Production (export)","C00033","Lancefieldella parvula"
"91","Production (export)","C00033","Lancefieldella rimae"
"92","Production (export)","C00033","Fannyhessea vaginae"
"93","Production (export)","C00033","Bacillus subtilis"
"94","Production (export)","C00033","Bacteroides caccae"
"95","Production (export)","C00033","Bacteroides cellulosilyticus"
"96","Production (export)","C00033","Phocaeicola coprocola"
"97","Production (export)","C00033","Phocaeicola coprophilus"
"98","Production (export)","C00033","Phocaeicola dorei"
"99","Production (export)","C00033","Bacteroides eggerthii"
"100","Production (export)","C00033","Bacteroides finegoldii"
"101","Production (export)","C00033","Bacteroides fragilis"
"102","Production (export)","C00033","Bacteroides helcogenes"
"103","Production (export)","C00033","Bacteroides intestinalis"
"104","Production (export)","C00033","Bacteroides ovatus"
"105","Production (export)","C00033","[Bacteroides] pectinophilus"
"106","Production (export)","C00033","Phocaeicola plebeius"
"107","Production (export)","C00033","Phocaeicola salanitronis"
"108","Production (export)","C00033","Bacteroides stercoris"
"109","Production (export)","C00033","Bacteroides thetaiotaomicron"
"110","Production (export)","C00033","Bacteroides uniformis"
"111","Production (export)","C00033","Phocaeicola vulgatus"
"112","Production (export)","C00033","Bacteroides xylanisolvens"
"113","Production (export)","C00033","Bifidobacterium adolescentis"
"114","Production (export)","C00033","Bifidobacterium angulatum"
"115","Production (export)","C00033","Bifidobacterium animalis"
"116","Production (export)","C00033","Bifidobacterium bifidum"
"117","Production (export)","C00033","Bifidobacterium breve"
"118","Production (export)","C00033","Bifidobacterium catenulatum"
"119","Production (export)","C00033","Bifidobacterium dentium"
"120","Production (export)","C00033","Bifidobacterium gallicum"
"121","Production (export)","C00033","Bifidobacterium longum"
"122","Production (export)","C00033","Bifidobacterium pseudocatenulatum"
"123","Production (export)","C00033","Bilophila wadsworthia"
"124","Production (export)","C00033","Blautia hydrogenotrophica"
"125","Consumption (import) & production (export)","C00033","Butyrivibrio crossotus"
"126","Consumption (import) & production (export)","C00033","Butyrivibrio fibrisolvens"
"127","Consumption (import) & production (export)","C00033","Butyrivibrio proteoclasticus"
"128","Production (export)","C00033","Catenibacterium mitsuokai"
"129","Production (export)","C00033","Citrobacter koseri"
"130","Production (export)","C00033","Citrobacter rodentium"
"131","Production (export)","C00033","Citrobacter youngae"
"132","Production (export)","C00033","Clostridium acetobutylicum"
"133","Production (export)","C00033","Enterocloster asparagiformis"
"134","Production (export)","C00033","Intestinibacter bartlettii"
"135","Production (export)","C00033","Clostridium beijerinckii"
"136","Production (export)","C00033","Enterocloster bolteae"
"137","Production (export)","C00033","Clostridium botulinum"
"138","Production (export)","C00033","Clostridium butyricum"
"139","Production (export)","C00033","Clostridium carboxidivorans"
"140","Production (export)","C00033","Ruminiclostridium cellulolyticum"
"141","Production (export)","C00033","Clostridium cellulovorans"
"143","Production (export)","C00033","Clostridioides difficile"
"144","Production (export)","C00033","Hungatella hathewayi"
"145","Production (export)","C00033","Peptacetobacter hiranonis"
"146","Production (export)","C00033","[Clostridium] hylemonae"
"147","Consumption (import) & production (export)","C00033","Clostridium kluyveri"
"148","Production (export)","C00033","[Clostridium] leptum"
"149","Production (export)","C00033","Clostridium ljungdahlii"
"150","Production (export)","C00033","[Clostridium] methylpentosum"
"151","Production (export)","C00033","Tyzzerella nexilis"
"152","Production (export)","C00033","Clostridium novyi"
"153","Production (export)","C00033","Ruminiclostridium papyrosolvens"
"154","Production (export)","C00033","Clostridium perfringens"
"155","Production (export)","C00033","Lachnoclostridium phytofermentans"
"156","Production (export)","C00033","Lacrimispora saccharolytica"
"157","Production (export)","C00033","[Clostridium] scindens"
"158","Production (export)","C00033","Clostridium sporogenes"
"159","Production (export)","C00033","Acetoanaerobium sticklandii"
"160","Production (export)","C00033","[Clostridium] symbiosum"
"161","Production (export)","C00033","Clostridium tetani"
"162","Production (export)","C00033","Acetivibrio thermocellus"
"164","Consumption (import)","C00033","Comamonas testosteroni"
"165","Consumption (import) & production (export)","C00033","Coprococcus catus"
"166","Production (export)","C00033","Coprococcus comes"
"167","Consumption (import) & production (export)","C00033","Coprococcus eutactus"
"168","Consumption (import) & production (export)","C00033","Desulfobulbus propionicus"
"169","Consumption (import)","C00033","Desulfofarcimen acetoxidans"
"170","Consumption (import)","C00033","Desulfotomaculum nigrificans"
"171","Consumption (import)","C00033","Desulforamulus reducens"
"172","Consumption (import) & production (export)","C00033","Pseudodesulfovibrio aespoeensis"
"173","Consumption (import) & production (export)","C00033","Desulfovibrio desulfuricans"
"174","Consumption (import) & production (export)","C00033","Solidesulfovibrio fructosivorans"
"175","Consumption (import) & production (export)","C00033","Solidesulfovibrio magneticus"
"176","Consumption (import) & production (export)","C00033","Desulfovibrio piger"
"177","Consumption (import) & production (export)","C00033","Maridesulfovibrio salexigens"
"178","Consumption (import) & production (export)","C00033","Desulfovibrio vulgaris"
"179","Consumption (import)","C00033","Desulfuromonas acetoxidans"
"180","Production (export)","C00033","Dialister invisus"
"181","Production (export)","C00033","Dorea formicigenerans"
"182","Production (export)","C00033","Dorea longicatena"
"183","Production (export)","C00033","Enterococcus casseliflavus"
"184","Production (export)","C00033","Enterococcus faecalis"
"185","Production (export)","C00033","Enterococcus faecium"
"186","Production (export)","C00033","Enterococcus gallinarum"
"187","Production (export)","C00033","Enterococcus italicus"
"188","Production (export)","C00033","Escherichia albertii"
"189","Production (export)","C00033","Escherichia coli"
"190","Production (export)","C00033","Escherichia fergusonii"
"191","Consumption (import)","C00033","[Eubacterium] cellulosolvens"
"192","Consumption (import)","C00033","Lachnospira eligens"
"193","Consumption (import)","C00033","Anaerobutyricum hallii"
"194","Consumption (import) & production (export)","C00033","Eubacterium limosum"
"195","Consumption (import) & production (export)","C00033","[Eubacterium] rectale"
"196","Consumption (import)","C00033","Lachnoanaerobaculum saburreum"
"197","Consumption (import)","C00033","[Eubacterium] saphenum"
"198","Consumption (import) & production (export)","C00033","[Eubacterium] siraeum"
"199","Consumption (import)","C00033","Eubacterium ventriosum"
"200","Consumption (import) & production (export)","C00033","Faecalibacterium prausnitzii"
"201","Production (export)","C00033","Fibrobacter succinogenes"
"202","Production (export)","C00033","Finegoldia magna"
"203","Consumption (import) & production (export)","C00033","Fusobacterium nucleatum"
"204","Consumption (import)","C00033","Citrifermentans bemidjiense"
"205","Consumption (import)","C00033","Trichlorobacter lovleyi"
"206","Consumption (import) & production (export)","C00033","Geobacter metallireducens"
"207","Consumption (import)","C00033","Geobacter sulfurreducens"
"208","Consumption (import)","C00033","Geotalea uraniireducens"
"209","Consumption (import)","C00033","Haloarcula marismortui"
"210","Consumption (import)","C00033","Haloferax volcanii"
"211","Production (export)","C00033","Holdemania filiformis"
"212","Consumption (import) & production (export)","C00033","Klebsiella pneumoniae"
"213","Production (export)","C00033","Lactobacillus acidophilus"
"214","Production (export)","C00033","Lactobacillus amylolyticus"
"215","Production (export)","C00033","Lactobacillus amylovorus"
"216","Production (export)","C00033","Limosilactobacillus antri"
"217","Production (export)","C00033","Levilactobacillus brevis"
"218","Production (export)","C00033","Lentilactobacillus buchneri"
"219","Production (export)","C00033","Lacticaseibacillus casei"
"220","Production (export)","C00033","Limosilactobacillus coleohominis"
"221","Production (export)","C00033","Lactobacillus crispatus"
"222","Production (export)","C00033","Lactobacillus delbrueckii"
"223","Production (export)","C00033","Limosilactobacillus fermentum"
"224","Production (export)","C00033","Lactobacillus gasseri"
"225","Production (export)","C00033","Lactobacillus helveticus"
"226","Production (export)","C00033","Lentilactobacillus hilgardii"
"227","Production (export)","C00033","Lactobacillus iners"
"228","Production (export)","C00033","Lactobacillus jensenii"
"229","Production (export)","C00033","Lactobacillus johnsonii"
"230","Production (export)","C00033","Limosilactobacillus oris"
"231","Production (export)","C00033","Lacticaseibacillus paracasei"
"232","Production (export)","C00033","Lactiplantibacillus plantarum"
"233","Production (export)","C00033","Limosilactobacillus reuteri"
"234","Production (export)","C00033","Lacticaseibacillus rhamnosus"
"235","Production (export)","C00033","Ligilactobacillus ruminis"
"236","Production (export)","C00033","Latilactobacillus sakei"
"237","Production (export)","C00033","Ligilactobacillus salivarius"
"238","Production (export)","C00033","Lactobacillus ultunensis"
"239","Production (export)","C00033","Limosilactobacillus vaginalis"
"240","Production (export)","C00033","Lactococcus lactis"
"241","Production (export)","C00033","Marvinbryantia formatexigens"
"242","Production (export)","C00033","Megamonas hypermegale"
"243","Production (export)","C00033","Megasphaera micronuciformis"
"244","Consumption (import)","C00033","Methanobrevibacter ruminantium"
"245","Consumption (import)","C00033","Methanobrevibacter smithii"
"246","Consumption (import)","C00033","Methanococcus maripaludis"
"247","Consumption (import)","C00033","Methanothrix thermoacetophila"
"248","Consumption (import) & production (export)","C00033","Methanosarcina acetivorans"
"249","Consumption (import)","C00033","Methanosarcina barkeri"
"250","Consumption (import)","C00033","Methanosarcina mazei"
"251","Consumption (import)","C00033","Methanosphaera stadtmanae"
"252","Consumption (import)","C00033","Methanosphaerula palustris"
"253","Consumption (import)","C00033","Methanospirillum hungatei"
"254","Production (export)","C00033","Moorella thermoacetica"
"255","Production (export)","C00033","Mycoplasmopsis agalactiae"
"256","Production (export)","C00033","Mycoplasmopsis alligatoris"
"257","Production (export)","C00033","Metamycoplasma arthritidis"
"258","Production (export)","C00033","Mycoplasmopsis bovis"
"259","Production (export)","C00033","Mycoplasma capricolum"
"260","Production (export)","C00033","Mesomycoplasma conjunctivae"
"261","Production (export)","C00033","Mycoplasma crocodyli"
"262","Production (export)","C00033","Mycoplasmopsis fermentans"
"263","Production (export)","C00033","Mycoplasmoides gallisepticum"
"264","Production (export)","C00033","Mycoplasmoides genitalium"
"265","Production (export)","C00033","Mycoplasma haemofelis"
"266","Production (export)","C00033","Metamycoplasma hominis"
"267","Production (export)","C00033","Mesomycoplasma hyopneumoniae"
"268","Production (export)","C00033","Mesomycoplasma hyorhinis"
"269","Production (export)","C00033","Mycoplasma leachii"
"270","Production (export)","C00033","Mesomycoplasma mobile"
"271","Production (export)","C00033","Mycoplasma mycoides"
"272","Production (export)","C00033","Malacoplasma penetrans"
"273","Production (export)","C00033","Mycoplasmoides pneumoniae"
"274","Production (export)","C00033","Mycoplasmopsis pulmonis"
"275","Production (export)","C00033","Mycoplasmopsis synoviae"
"276","Production (export)","C00033","Odoribacter splanchnicus"
"277","Production (export)","C00033","Parabacteroides johnsonii"
"278","Production (export)","C00033","Parabacteroides merdae"
"279","Production (export)","C00033","Parvularcula bermudensis"
"280","Production (export)","C00033","Syntrophotalea carbinolica"
"281","Production (export)","C00033","Pelobacter propionicus"
"282","Production (export)","C00033","Pelotomaculum thermopropionicum"
"283","Production (export)","C00033","Peptostreptococcus anaerobius"
"284","Production (export)","C00033","Peptostreptococcus stomatis"
"285","Production (export)","C00033","Prevotella amnii"
"286","Production (export)","C00033","Prevotella bergensis"
"287","Production (export)","C00033","Prevotella bivia"
"288","Production (export)","C00033","Prevotella bryantii"
"289","Production (export)","C00033","Prevotella buccae"
"290","Production (export)","C00033","Prevotella buccalis"
"291","Production (export)","C00033","Prevotella copri"
"292","Production (export)","C00033","Prevotella disiens"
"293","Production (export)","C00033","Prevotella marshii"
"294","Production (export)","C00033","Prevotella melaninogenica"
"295","Production (export)","C00033","Prevotella multiformis"
"296","Production (export)","C00033","Prevotella oralis"
"297","Production (export)","C00033","Prevotella oris"
"298","Production (export)","C00033","Prevotella ruminicola"
"299","Production (export)","C00033","Prevotella salivae"
"300","Production (export)","C00033","Alloprevotella tannerae"
"301","Production (export)","C00033","Prevotella timonensis"
"302","Production (export)","C00033","Prevotella veroralis"
"303","Production (export)","C00033","Cutibacterium acnes"
"304","Production (export)","C00033","Propionibacterium freudenreichii"
"305","Production (export)","C00033","Pseudoflavonifractor capillosus"
"306","Consumption (import)","C00033","Pseudomonas mendocina"
"307","Production (export)","C00033","Pyramidobacter piscolens"
"308","Production (export)","C00033","Pyrococcus furiosus"
"309","Consumption (import)","C00033","Roseburia intestinalis"
"310","Consumption (import)","C00033","Roseburia inulinivorans"
"311","Production (export)","C00033","Ruminococcus albus"
"312","Production (export)","C00033","Ruminococcus bromii"
"313","Production (export)","C00033","Ruminococcus flavefaciens"
"314","Production (export)","C00033","[Ruminococcus] gnavus"
"315","Production (export)","C00033","Blautia obeum"
"316","Production (export)","C00033","[Ruminococcus] torques"
"317","Production (export)","C00033","Selenomonas artemidis"
"318","Production (export)","C00033","Selenomonas flueggei"
"319","Production (export)","C00033","Selenomonas noxia"
"320","Production (export)","C00033","Selenomonas sputigena"
"321","Production (export)","C00033","Shewanella putrefaciens"
"322","Production (export)","C00033","Streptococcus agalactiae"
"323","Production (export)","C00033","Streptococcus anginosus"
"324","Production (export)","C00033","Streptococcus australis"
"325","Production (export)","C00033","Streptococcus equinus"
"326","Production (export)","C00033","Streptococcus cristatus"
"327","Production (export)","C00033","Streptococcus downei"
"328","Production (export)","C00033","Streptococcus dysgalactiae"
"329","Production (export)","C00033","Streptococcus equi"
"330","Production (export)","C00033","Streptococcus gallolyticus"
"331","Production (export)","C00033","Streptococcus gordonii"
"332","Production (export)","C00033","Streptococcus infantarius"
"333","Production (export)","C00033","Streptococcus infantis"
"334","Production (export)","C00033","Streptococcus mitis"
"335","Production (export)","C00033","Streptococcus mutans"
"336","Production (export)","C00033","Streptococcus oralis"
"337","Production (export)","C00033","Streptococcus parasanguinis"
"338","Production (export)","C00033","Streptococcus peroris"
"339","Production (export)","C00033","Streptococcus pneumoniae"
"340","Production (export)","C00033","Streptococcus pseudoporcinus"
"341","Production (export)","C00033","Streptococcus pyogenes"
"342","Production (export)","C00033","Streptococcus salivarius"
"343","Production (export)","C00033","Streptococcus sanguinis"
"344","Production (export)","C00033","Streptococcus suis"
"345","Production (export)","C00033","Streptococcus thermophilus"
"346","Production (export)","C00033","Streptococcus uberis"
"347","Production (export)","C00033","Streptococcus vestibularis"
"348","Production (export)","C00033","Subdoligranulum variabile"
"349","Production (export)","C00033","Syntrophobacter fumaroxidans"
"350","Production (export)","C00033","Syntrophobotulus glycolicus"
"351","Production (export)","C00033","Syntrophomonas wolfei"
"352","Production (export)","C00033","Syntrophothermus lipocalidus"
"353","Production (export)","C00033","Syntrophus aciditrophicus"
"354","Production (export)","C00033","Thermotoga maritima"
"355","Production (export)","C00033","Veillonella atypica"
"356","Production (export)","C00033","Veillonella dispar"
"357","Production (export)","C00033","Veillonella parvula"
"358","Consumption (import)","C00033","Wolinella succinogenes"
"359","Consumption (import)","C00033","Xanthomonas campestris"
"360","Production (export)","C00466, C00810","Lactiplantibacillus plantarum"
"361","Consumption (import)","C00466, C00810","Syntrophotalea carbinolica"
"362","Consumption (import)","C00466, C00810","Pelobacter propionicus"
"363","Production (export)","C00207","Bacillus subtilis"
"364","Production (export)","C00207","Clostridium acetobutylicum"
"365","Production (export)","C00207","Enterocloster asparagiformis"
"366","Production (export)","C00207","Intestinibacter bartlettii"
"367","Production (export)","C00207","Clostridium beijerinckii"
"368","Production (export)","C00207","Enterocloster bolteae"
"369","Production (export)","C00207","Clostridium botulinum"
"370","Production (export)","C00207","Clostridium butyricum"
"371","Production (export)","C00207","Clostridium carboxidivorans"
"372","Production (export)","C00207","Ruminiclostridium cellulolyticum"
"373","Production (export)","C00207","Clostridium cellulovorans"
"375","Production (export)","C00207","Clostridioides difficile"
"376","Production (export)","C00207","Hungatella hathewayi"
"377","Production (export)","C00207","Peptacetobacter hiranonis"
"378","Production (export)","C00207","[Clostridium] hylemonae"
"379","Production (export)","C00207","Clostridium kluyveri"
"380","Production (export)","C00207","[Clostridium] leptum"
"381","Production (export)","C00207","Clostridium ljungdahlii"
"382","Production (export)","C00207","[Clostridium] methylpentosum"
"383","Production (export)","C00207","Tyzzerella nexilis"
"384","Production (export)","C00207","Clostridium novyi"
"385","Production (export)","C00207","Ruminiclostridium papyrosolvens"
"386","Production (export)","C00207","Clostridium perfringens"
"387","Production (export)","C00207","Lachnoclostridium phytofermentans"
"388","Production (export)","C00207","Lacrimispora saccharolytica"
"389","Production (export)","C00207","[Clostridium] scindens"
"390","Production (export)","C00207","Clostridium sporogenes"
"391","Production (export)","C00207","Acetoanaerobium sticklandii"
"392","Production (export)","C00207","[Clostridium] symbiosum"
"393","Production (export)","C00207","Clostridium tetani"
"394","Production (export)","C00207","Acetivibrio thermocellus"
"398","Production (export)","C00194","Priestia megaterium"
"399","Consumption (import)","C00194","Bacillus subtilis"
"400","Consumption (import)","C00194","Bacteroides eggerthii"
"401","Consumption (import)","C00194","Bacteroides fragilis"
"402","Consumption (import)","C00194","Bacteroides thetaiotaomicron"
"403","Consumption (import)","C00194","Phocaeicola vulgatus"
"404","Production (export)","C00194","Bifidobacterium bifidum"
"405","Production (export)","C00194","Bifidobacterium breve"
"406","Production (export)","C00194","Bifidobacterium longum"
"408","Consumption (import)","C00194","Corynebacterium diphtheriae"
"409","Consumption (import)","C00194","Deinococcus radiodurans"
"410","Consumption (import) & production (export)","C00194","Escherichia coli"
"411","Consumption (import) & production (export)","C00194","Klebsiella pneumoniae"
"412","Consumption (import)","C00194","Lactobacillus delbrueckii"
"413","Production (export)","C00194","Limosilactobacillus reuteri"
"414","Production (export)","C00194","Listeria innocua"
"415","Production (export)","C00194","Mesorhizobium loti"
"416","Consumption (import)","C00194","Mycobacterium leprae"
"417","Production (export)","C00194","Mycolicibacterium smegmatis"
"418","Consumption (import)","C00194","Parabacteroides distasonis"
"419","Consumption (import)","C00194","Porphyromonas gingivalis"
"420","Consumption (import)","C00194","Prevotella ruminicola"
"421","Production (export)","C00194","Propionibacterium freudenreichii"
"422","Consumption (import)","C00194","Proteus mirabilis"
"423","Consumption (import)","C00194","Pseudomonas aeruginosa"
"424","Consumption (import)","C00194","Ruminococcus bromii"
"425","Production (export)","C00194","Salmonella enterica"
"426","Consumption (import)","C00194","Shigella flexneri"
"427","Consumption (import)","C00194","Shigella sonnei"
"428","Consumption (import)","C00194","Staphylococcus aureus"
"429","Production (export)","C00194","Streptomyces griseus"
"430","Consumption (import)","C06104","Acidovorax avenae"
"431","Consumption (import)","C06104","Acidovorax delafieldii"
"432","Macromolecule degradation","C01768","Bacteroides ovatus"
"433","Consumption (import)","C00026","Aeromicrobium marinum"
"434","Consumption (import)","C06427","Butyrivibrio fibrisolvens"
"435","Consumption (import)","C06427","Ruminococcus albus"
"438","Macromolecule degradation","C00569","Bacteroides ovatus"
"439","Macromolecule degradation","C00569","Bacteroides thetaiotaomicron"
"440","Macromolecule degradation","C00569","Phocaeicola vulgatus"
"441","Macromolecule degradation","C00569","Bifidobacterium longum"
"444","Production (export)","C00072","Gluconobacter oxydans"
"445","Production (export)","C00072","Ketogulonicigenium vulgare"
"446","Consumption (import)","C00261","Geobacter metallireducens"
"447","Consumption (import)","C00180","Geobacter metallireducens"
"448","Consumption (import)","C00180","Klebsiella pneumoniae"
"449","Consumption (import)","C00180","Methylobacterium nodulans"
"450","Consumption (import)","C00180","Syntrophomonas wolfei"
"451","Consumption (import)","C00180","Syntrophus aciditrophicus"
"452","Consumption (import)","C00556","Geobacter metallireducens"
"453","Consumption (import)","C00099","Brucella suis"
"454","Consumption (import)","C00099","Corynebacterium diphtheriae"
"455","Consumption (import)","C00719","Acetohalobium arabaticum"
"456","Consumption (import)","C00719","Escherichia coli"
"457","Consumption (import)","C00719","Methanothrix thermoacetophila"
"458","Consumption (import)","C00719","Methanosarcina mazei"
"459","Consumption (import)","C00719","Methylobacterium nodulans"
"460","Consumption (import)","C00288","Bacteroides fragilis"
"462","Consumption (import)","C00288","Desulfobulbus propionicus"
"463","Consumption (import)","C00288","Methanobrevibacter smithii"
"464","Consumption (import)","C00288","Pelobacter propionicus"
"465","Consumption (import)","C00288","Ruminococcus bromii"
"466","Consumption (import)","C00120","Bacillus subtilis"
"467","Production (export)","C00120","Candidatus Baumannia cicadellinicola"
"468","Production (export)","C00120","Bifidobacterium adolescentis"
"469","Production (export)","C00120","Bifidobacterium bifidum"
"470","Production (export)","C00120","Bifidobacterium longum"
"471","Consumption (import)","C00120","Brevibacillus brevis"
"472","Consumption (import)","C00120","Brucella abortus"
"473","Consumption (import)","C00120","Brucella melitensis"
"474","Consumption (import)","C00120","Brucella suis"
"475","Consumption (import)","C00120","Clostridium acetobutylicum"
"476","Consumption (import)","C00120","Clostridium botulinum"
"477","Consumption (import)","C00120","Clostridium butyricum"
"478","Consumption (import)","C00120","Clostridium sporogenes"
"479","Consumption (import)","C00120","Clostridium tetani"
"481","Consumption (import)","C00120","Deinococcus radiodurans"
"482","Production (export)","C00120","Escherichia coli"
"483","Consumption (import)","C00120","Fibrobacter succinogenes"
"484","Consumption (import)","C00120","Lactobacillus acidophilus"
"485","Consumption (import)","C00120","Lacticaseibacillus casei"
"486","Consumption (import)","C00120","Leuconostoc mesenteroides"
"487","Consumption (import)","C00120","Listeria monocytogenes"
"488","Consumption (import)","C00120","Paenibacillus larvae"
"489","Consumption (import)","C00120","Paenibacillus polymyxa"
"490","Consumption (import)","C00120","Rhizobium leguminosarum"
"491","Consumption (import)","C00120","Rhodobacter capsulatus"
"492","Consumption (import)","C00120","Rhodospirillum rubrum"
"493","Consumption (import)","C00120","Ruminococcus albus"
"494","Consumption (import)","C00120","Ruminococcus bromii"
"495","Consumption (import)","C00120","Staphylococcus aureus"
"496","Consumption (import)","C00120","Streptococcus equinus"
"497","Consumption (import)","C00120","Streptococcus salivarius"
"498","Consumption (import)","C06142","Bilophila wadsworthia"
"499","Production (export)","C06142","Clostridium acetobutylicum"
"500","Production (export)","C06142","Clostridium beijerinckii"
"501","Consumption (import)","C06142","Geobacter metallireducens"
"502","Consumption (import)","C06142","Moorella thermoacetica"
"503","Consumption (import)","C06142","Syntrophotalea carbinolica"
"504","Consumption (import)","C06142","Pelobacter propionicus"
"505","Consumption (import)","C06142","Pelotomaculum thermopropionicum"
"506","Consumption (import)","C06142","Syntrophobacter fumaroxidans"
"507","Consumption (import)","C06142","Syntrophobotulus glycolicus"
"508","Consumption (import)","C06142","Syntrophomonas wolfei"
"509","Consumption (import)","C06142","Syntrophothermus lipocalidus"
"510","Consumption (import)","C06142","Syntrophus aciditrophicus"
"511","Production (export)","C18706","Bacteroides ovatus"
"512","Production (export)","C18706","Bacteroides thetaiotaomicron"
"513","Production (export)","C18706","Bifidobacterium longum"
"514","Production (export)","C00246","Acidaminococcus fermentans"
"515","Production (export)","C00246","Anaerococcus hydrogenalis"
"516","Production (export)","C00246","Anaerococcus lactolyticus"
"517","Production (export)","C00246","Anaerococcus prevotii"
"518","Production (export)","C00246","Anaerococcus tetradius"
"519","Production (export)","C00246","Anaerococcus vaginalis"
"520","Production (export)","C00246","Anaerostipes caccae"
"521","Production (export)","C00246","Anaerotruncus colihominis"
"522","Production (export)","C00246","Bacteroides caccae"
"523","Production (export)","C00246","Bacteroides cellulosilyticus"
"524","Production (export)","C00246","Phocaeicola coprocola"
"525","Production (export)","C00246","Phocaeicola coprophilus"
"526","Production (export)","C00246","Phocaeicola dorei"
